Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,Audi A2 (Standard & SE),1.4 (75 bhp),M5,1390,Petrol,8.2,4.7,6,34.4,60.1,47.1,144,463,IV,71,0.258,0,0.068,0.025,0
AUDI,Audi A2 (Standard & SE),1.4 SE (75 bhp),M5,1390,Petrol,8.3,4.8,6.1,34,58.9,46.3,146,471,IV,71,0.258,0,0.068,0.025,0
AUDI,"Audi A3 (3 door, S, SE & Sport)","1.6 S, SE & Sport Models (101 bhp)",A4,1595,Petrol,11.2,6.2,8,25.2,45.6,35.3,192,618,IV,71,0.48,0,0.058,0.044,0
AUDI,"Audi A3 (3 door, S, SE & Sport)","1.6 S, SE & Sport Models (101 bhp)",M5,1595,Petrol,9.8,5.4,7,28.8,52.3,40.4,168,540,IV,73,0.718,0,0.053,0.039,0
AUDI,"Audi A3 (3 door, S, SE & Sport)",1.8 T Sport (150 bhp),A4,1781,Petrol,12.8,6.9,9,22.1,40.9,31.4,216,695,IV,70,0.775,0,0.051,0.026,0
AUDI,"Audi A3 (3 door, S, SE & Sport)",1.8 T Sport (150 bhp),M5,1781,Petrol,10.7,6.2,7.9,26.4,45.6,35.8,190,610,IV,71,0.631,0,0.065,0.038,0
AUDI,"Audi A3 (5 door, S, SE & Sport)",1.6 S (101 bhp),A4,1595,Petrol,11.2,6.2,8,25.2,45.6,35.3,192,618,IV,71,0.48,0,0.058,0.044,0
AUDI,"Audi A3 (5 door, S, SE & Sport)",1.6 SE & Sport Models (101 bhp),A4,1595,Petrol,11.4,6.3,8.1,24.8,44.8,34.9,194,625,IV,71,0.48,0,0.058,0.044,0
AUDI,"Audi A3 (5 door, S, SE & Sport)",1.6 S & Sport Models (101 bhp),M5,1595,Petrol,9.8,5.4,7,28.8,52.3,40.4,168,540,IV,73,0.718,0,0.053,0.039,0
AUDI,"Audi A3 (5 door, S, SE & Sport)",1.6 SE (101 bhp),M5,1595,Petrol,9.9,5.5,7.1,28.5,51.4,39.8,170,548,IV,73,0.718,0,0.053,0.039,0
