Manufacturers,Model,Description,Line_2,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,Audi A2 (Standard & SE),1.4 (75 bhp),,M5,1390,Petrol,8.2,4.7,6.0,34.4,60.1,47.1,144,434,IV,71.0,0.258,,0.068,0.025,
AUDI,Audi A2 (Standard & SE),1.4 SE (75 bhp),,M5,1390,Petrol,8.3,4.8,6.1,34.0,58.9,46.3,146,442,IV,71.0,0.258,,0.068,0.025,
AUDI,"Audi A3 (3 & 5 door, S, SE, Sport and Sport Quattro)",1.6 (102 bhp),,M5,1595,Petrol,9.9,5.5,7.1,28.5,51.4,39.8,170,514,IV,73.0,0.718,,0.053,0.039,
AUDI,"Audi A3 (3 & 5 door, S, SE, Sport and Sport Quattro)",1.6 (102 bhp),,A4,1595,Petrol,11.4,6.3,8.1,24.8,44.8,34.9,194,586,IV,71.0,0.480,,0.058,0.044,
AUDI,"Audi A3 (3 & 5 door, S, SE, Sport and Sport Quattro)",1.8T (150 bhp),,M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,580,IV,71.0,0.631,,0.065,0.038,
AUDI,"Audi A3 (3 & 5 door, S, SE, Sport and Sport Quattro)",1.8T (150 bhp),,A4,1781,Petrol,12.9,7.0,9.1,21.9,40.4,31.0,218,660,IV,70.0,0.775,,0.051,0.026,
AUDI,"Audi A3 (3 & 5 door, S, SE, Sport and Sport Quattro)",1.8T (180 bhp),,M5,1781,Petrol,10.8,6.4,8.0,26.2,44.1,35.3,192,580,IV,72.0,0.775,,0.066,0.019,
AUDI,"Audi A3 (3 & 5 door, S, SE, Sport and Sport Quattro)",1.8T (180 bhp),,A5,1781,Petrol,13.1,6.9,9.1,21.6,40.9,31.0,218,660,IV,71.0,0.700,,0.044,0.025,
AUDI,"Audi A4 (S, SE & Sport)",1.6 (102 bhp),,M5,1595,Petrol,10.9,6.1,7.8,25.9,46.3,36.2,187,565,IV,73.0,0.404,,0.047,0.023,
AUDI,"Audi A4 (S, SE & Sport)",2.0 (130 bhp),,M5,1984,Petrol,11.6,6.1,8.1,24.4,46.3,34.9,194,586,IV,73.0,0.682,,0.068,0.044,
AUDI,"Audi A4 (S, SE & Sport)",2.0 Multitronic (130 bhp),,AV,1984,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,192,580,IV,72.0,0.712,,0.082,0.037,
AUDI,"Audi A4 (S, SE & Sport)",1.8T (150 bhp),,M5,1781,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,199,602,IV,71.0,0.408,,0.026,0.025,
AUDI,"Audi A4 (S, SE & Sport)",1.8T Quattro (150 bhp),,QM5,1781,Petrol,12.6,7.3,9.3,22.4,38.7,30.4,223,673,IV,72.0,0.458,,0.025,0.023,
AUDI,"Audi A4 (S, SE & Sport)",3.0 V6 Quattro (220 bhp),,QM5,2976,Petrol,15.0,8.1,10.6,18.8,34.9,26.6,254,769,IV,72.0,0.451,,0.036,0.052,
AUDI,"Audi A4 (S, SE & Sport)",3.0 V6 Quattro (220 bhp),,QA5,2976,Petrol,16.1,7.9,10.9,17.5,35.8,25.9,262,790,IV,74.0,0.507,,0.056,0.064,
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",1.8 20v T (150 bhp),,M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,624,IV,72.0,0.350,,0.032,0.037
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",1.8 20v T Multitronic (150 bhp),,AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,629,IV,72.0,0.496,,0.053,0.040
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",1.8 20v T Quattro (150 bhp),,QM5,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,230,696,IV,74.0,0.420,,0.042,0.040
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.4 V6 (165 bhp),,M5,2393,Petrol,14.1,7.6,10.0,20.0,37.2,28.2,240,725,IV,72.0,0.229,,0.047,0.036
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.4 V6 Multitronic (165 bhp),,AV,2393,Petrol,14.3,7.1,9.7,19.8,39.8,29.1,233,703,IV,73.0,0.274,,0.050,0.035
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.4 V6 Quattro (165 bhp),,QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,796,IV,73.0,0.257,,0.044,0.026
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.4 V6 Quattro (165 bhp),,QA5,2393,Petrol,16.3,8.2,11.3,17.3,34.4,25.0,271,818,IV,73.0,0.184,,0.049,0.037
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.8 V6 Quattro (194 bhp),,QM5,2771,Petrol,15.5,8.3,10.9,18.2,34.0,25.9,262,790,IV,72.0,0.332,,0.042,0.032
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",2.8 V6 Quattro (194 bhp),,QA5,2771,Petrol,16.9,8.7,11.7,16.7,32.5,24.1,281,849,IV,72.0,0.235,,0.042,0.036
AUDI,"Audi A6 Saloon (SE, Sport & Quattro)",4.2 V8 Sport & Quattro (300 bhp),,QA5,4172,Petrol,19.4,9.5,13.1,14.6,29.7,21.6,314,947,IV,74.0,0.419,,0.058,0.038
AUDI,A6 Saloon (Available From July 2001),1.8T 20v (150 bhp),,M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,624,IV,72.0,0.350,,0.032,0.037
AUDI,A6 Saloon (Available From July 2001),1.8T 20v Multitronic (150 bhp),,AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,629,IV,72.0,0.496,,0.053,0.040
AUDI,A6 Saloon (Available From July 2001),1.8T 20v Quattro (150 bhp),,QM5,1781,Petrol,12.7,7.5,9.5,22.2,37.7,29.7,228,689,IV,74.0,0.420,,0.042,0.040
AUDI,A6 Saloon (Available From July 2001),2.0 (130 bhp),,M5,1984,Petrol,11.9,6.5,8.4,23.7,43.5,33.6,202,609,IV,74.0,0.560,,0.073,0.036
AUDI,A6 Saloon (Available From July 2001),2.0 Multitronic (130 bhp),,AV,1984,Petrol,11.4,6.8,8.5,24.8,41.5,33.2,204,616,IV,74.0,0.462,,0.080,0.035
AUDI,A6 Saloon (Available From July 2001),2.4 V6 (170 bhp),,M5,2393,Petrol,14.1,7.6,10.0,20.0,37.2,28.2,240,725,IV,72.0,0.229,,0.047,0.036
