Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
ALFA ROMEO,147 Range,GTA,M6,3179,Petrol,18.1,8.6,12.1,15.6,32.8,23.3,287,843,IV,74.0,0.4,,0.0,0.0,,27 March 2003,
ALFA ROMEO,156 Saloon Range,2.0 JTS,M5,1970,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,205,624,IV,72.5,0.5,,0.1,0.1,,04 March 2003,
ALFA ROMEO,156 Saloon Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,205,624,IV,72.5,0.5,,0.1,0.1,,04 March 2003,
ALFA ROMEO,156 Sportwagon Range,2.0 JTS,M5,1970,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,212,645,IV,72.5,0.5,,0.1,0.1,,04 March 2003,
ALFA ROMEO,156 Sportwagon Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,212,645,IV,72.5,0.5,,0.1,0.1,,04 March 2003,
AUDI,"Audi A2 (Standard, SE & Sport)",1.4 (75 PS),M5,1390,Petrol,8.2,4.7,6.0,34.4,60.1,47.1,144,417,IV,71.0,0.2,,0.1,0.0,,20 March 2003,
AUDI,"Audi A2 (Standard, SE & Sport)",1.6 FSI (110 PS),M5,1589,Petrol,8.2,4.8,6.0,34.4,58.9,47.1,144,417,IV,73.0,0.1,,0.1,0.0,,20 March 2003,
AUDI,"Audi A2 (Standard, SE & Sport)",1.4 SE (75 PS),M5,1390,Petrol,8.3,4.8,6.1,34.0,58.9,46.3,146,424,IV,71.0,0.3,,0.1,0.0,,30 May 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.6 (102 PS),M5,1595,Petrol,9.9,5.5,7.1,28.5,51.4,39.8,170,493,IV,73.0,0.7,,0.1,0.0,,20 March 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.6 (102 PS),A4,1595,Petrol,11.4,6.3,8.1,24.8,44.8,34.9,194,563,IV,71.0,0.5,,0.1,0.0,,20 March 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.8T (150 PS),M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,556,IV,71.0,0.6,,0.1,0.0,,20 March 2003,
AUDI,"Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",1.8T (150 PS),A4,1781,Petrol,12.9,7.0,9.1,21.9,40.4,31.0,218,634,IV,70.0,0.8,,0.1,0.0,,20 March 2003,
