Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates
ALFA ROMEO,Alfa 147,1.6 (120 bhp),M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,1427,74,0.131,0.048,0.023,,
ALFA ROMEO,Alfa 147,2,M5,1970,Petrol,12.1,7,8.9,23.3,40.4,31.7,211,1549,74,0.364,0.055,0.06,,
ALFA ROMEO,Alfa 147,1.9 JTDM 16v,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,153,1053,72,0.138,,0.209,0.233,0.024
ALFA ROMEO,Alfa 147,1.9 JTDM 16v,M6,1910,Diesel,8,4.7,5.9,35.3,60.1,47.9,157,1071,74,0.199,,0.216,0.262,0.024
ALFA ROMEO,Alfa GT,2.0 JTS,M5,1970,Petrol,12.2,6.7,8.7,23.2,42.2,32.5,207,1511,73,0.512,0.066,0.064,,
ALFA ROMEO,Alfa GT,3.2 V6 24v,M6,3179,Petrol,18.6,8.7,12.4,15.2,32.5,22.8,295,2153,74,0.267,0.034,0.061,,
ALFA ROMEO,Alfa GT,1.9 JTDM 16v,M6,1910,Diesel,8.5,4.9,6.2,33.2,57.6,45.6,165,1125,74.5,0.214,,0.221,0.276,0.024
ALFA ROMEO,Alfa 159,1.9 JTS,M6,1859,Petrol,12.2,6.6,8.7,23.2,42.8,32.5,205,1511,73,0.485,0.085,0.057,,
ALFA ROMEO,Alfa 159,2.2 JTS,M6,2198,Petrol,13,7.3,9.4,21.7,38.7,30.1,221,1631,73,0.568,0.028,0.055,,
ALFA ROMEO,Alfa 159,3.2 JTS V6 Q4,M6,3195,Petrol,16.9,8.4,11.5,16.7,33.6,24.6,273,1996,72,0.566,0.068,0.019,,
ALFA ROMEO,Alfa 159,1.9 16v JTDM,M6,1910,Diesel,8.1,4.8,6,34.9,58.9,47.1,159,1089,74,0.475,,0.22,0.268,0.003
ALFA ROMEO,Alfa 159,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1236,75,0.33,,0.231,0.268,0.005
ALFA ROMEO,Alfa 159 Sportwagon,1.9 16v,M6,1859,Petrol,12.4,6.7,8.8,22.8,42.2,32.1,209,1529,73,0.485,0.085,0.057,,
ALFA ROMEO,Alfa 159 Sportwagon,2.2 16v,M6,2198,Petrol,13.2,7.3,9.5,21.4,38.7,29.7,224,1653,73,0.568,0.028,0.055,,
ALFA ROMEO,Alfa 159 Sportwagon,3.2 JTS V6 Q4,M6,3195,Petrol,18.1,10.4,13.2,15.6,27.2,21.4,314,2294,72,0.566,0.068,0.019,,
ALFA ROMEO,Alfa 159 Sportwagon,1.9 JTDM 16v,M6,1910,Diesel,8.3,4.8,6.1,34,58.9,46.3,162,1108,74,0.475,,0.22,0.268,0.003
ALFA ROMEO,Alfa 159 Sportwagon,2.4 JTDM,M6,2387,Diesel,9.4,5.6,7,30.1,50.4,40.4,185,1269,75,0.33,,0.231,0.268,0.005
ALFA ROMEO,Alfa Brera,2.2 JTS,M6,2198,Petrol,13,7.3,9.4,21.7,38.7,30.1,221,1631,73,0.398,0.066,0.03,,
ALFA ROMEO,Alfa Brera,3.2 JTS V6 Q4,M6,3195,Petrol,16.9,8.4,11.5,16.7,33.6,24.6,273,1996,73,0.691,0.05,0.032,,
ALFA ROMEO,Alfa Brera,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1236,73,0.124,,0.231,0.248,0.004
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,A6,5935,Petrol,24.9,11.7,16.5,11.3,24.1,17.1,394,2871,74,0.453,0.051,0.001,,
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,M6,5935,Petrol,26.4,12.8,17.8,10.7,22.1,15.8,421,3107,75,0.636,0.054,0.012,,
ASTON MARTIN LAGONDA,Vanquish,V12 Vanquish S,M6,5935,Petrol,28.2,13.4,18.9,10,21.1,14.9,448,3295,75,0.491,0.054,0.008,,
ASTON MARTIN LAGONDA,V8 Vantage,Hatchback Manual,M6,4282,Petrol,25.2,12.5,17.2,11.2,22.6,16.4,406,2994,74,0.342,0.047,0.049,,
AUDI,A2 Standard,1.4 (75 PS),M5,1390,Petrol,8.2,4.7,6,34.4,60.1,47.1,144,1042,71,0.218,0.064,0.033,,
AUDI,A2 Standard,1.4 TDI (75 PS),M5,1422,Diesel,5.7,3.6,4.4,49.6,78.5,64.2,119,799,72,0.095,,0.18,0.193,0.021
AUDI,A2 Standard,1.4 TDI (90 PS),M5,1422,Diesel,5.9,3.6,4.4,47.9,78.5,64.2,119,799,72,0.118,,0.162,0.177,0.022
