Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
ALFA ROMEO,147 Range,1.6,M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,634,III,74.0,0.355,0.000,0.119,0.090,0.000
ALFA ROMEO,147 Range,2.0,M5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,688,III,74.0,0.439,0.000,0.091,0.113,0.000
ALFA ROMEO,147 Range,2.0 Selespeed,SAT5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,688,III,74.0,0.439,0.000,0.091,0.113,0.000
ALFA ROMEO,156 Saloon Range,1.6,M5,1598,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,634,III,72.0,0.428,0.000,0.091,0.048,0.000
ALFA ROMEO,156 Saloon Range,1.8,M5,1747,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,202,657,III,72.0,0.338,0.000,0.076,0.038,0.000
ALFA ROMEO,156 Saloon Range,2.0,M5,1970,Petrol,12.3,6.6,8.7,23.0,42.8,32.5,207,671,III,72.5,0.396,0.000,0.067,0.048,0.000
ALFA ROMEO,156 Saloon Range,2.0 Selespeed,SAT5,1970,Petrol,12.3,6.6,8.7,23.0,42.8,32.5,207,671,III,72.5,0.389,0.000,0.077,0.097,0.000
ALFA ROMEO,156 Saloon Range,2.5 V6,M6,2492,Petrol,17.5,8.5,11.8,16.1,33.2,23.9,282,913,III,73.5,0.905,0.000,0.091,0.017,0.000
ALFA ROMEO,156 Saloon Range,2.5 V6 Q-System,A4,2492,Petrol,17.5,8.6,11.9,16.1,32.8,23.7,283,921,III,73.0,1.369,0.000,0.182,0.033,0.000
ALFA ROMEO,156 Saloon Range,2.4 JTD,M5,2387,Diesel,8.9,5.4,6.7,31.7,52.3,42.2,178,530,III,71.5,0.435,0.497,0.000,0.469,0.041
ALFA ROMEO,156 Sportwagon Range,1.6,M5,1598,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,198,642,III,72.0,0.428,0.000,0.091,0.048,0.000
ALFA ROMEO,156 Sportwagon Range,1.8,M5,1747,Petrol,12.2,6.5,8.6,23.2,43.5,32.8,205,665,III,72.0,0.338,0.000,0.076,0.038,0.000
ALFA ROMEO,156 Sportwagon Range,2.0,M5,1970,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,214,695,III,72.5,0.396,0.000,0.067,0.048,0.000
ALFA ROMEO,156 Sportwagon Range,2.0 Selespeed,SAT5,1970,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,214,695,III,72.5,0.389,0.000,0.077,0.097,0.000
ALFA ROMEO,156 Sportwagon Range,2.5 V6,M6,2492,Petrol,17.8,8.6,12.0,15.9,32.8,23.5,286,929,III,73.5,0.905,0.000,0.091,0.017,0.000
ALFA ROMEO,156 Sportwagon Range,2.5 V6 Q-System,A4,2492,Petrol,18.1,8.8,12.2,15.6,32.1,23.2,291,941,III,73.0,1.369,0.000,0.182,0.033,0.000
