Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
ALFA ROMEO,147 Range,1.6,M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,571,III,74.0,0.4,,0.1,0.1,,01 July 2001,
ALFA ROMEO,147 Range,2.0,M5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,620,III,74.0,0.4,,0.1,0.1,,01 July 2001,
ALFA ROMEO,147 Range,2.0 Selespeed,SAT5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,620,III,74.0,0.4,,0.1,0.1,,01 July 2001,
ALFA ROMEO,147 Range,1.9 JTD,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,155,420,III,70.5,0.3,0.5,,0.4,0.0,04 March 2003,
ALFA ROMEO,147 Range,1.9 JTD 16v,M6,1910,Diesel,8.0,4.7,5.9,35.3,60.1,47.9,157,427,III,74.0,0.3,0.4,,0.3,0.0,21 May 2003,
ALFA ROMEO,156 Saloon Range,1.9 JTD ,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,155,420,III,73.0,0.2,0.3,,0.3,0.0,04 March 2003,
ALFA ROMEO,156 Saloon Range,1.6,M5,1598,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,571,III,72.0,0.4,,0.1,0.0,,04 March 2003,
ALFA ROMEO,156 Saloon Range,2.5 V6,M6,2492,Petrol,17.5,8.5,11.8,16.1,33.2,23.9,282,822,III,73.5,0.9,,0.1,0.0,,04 March 2003,
ALFA ROMEO,156 Saloon Range,2.5 V6 Q-System,A4,2492,Petrol,17.5,8.6,11.9,16.1,32.8,23.7,283,829,III,73.0,1.4,,0.2,0.0,,04 March 2003,
ALFA ROMEO,156 Saloon Range,1.8,M5,1747,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,202,592,III,72.0,0.3,,0.1,0.0,,04 March 2003,
ALFA ROMEO,156 Saloon Range,GTA Selespeed,SAT6,3179,Petrol,18.1,8.6,12.1,15.6,32.8,23.3,287,843,III,74.0,0.6,,0.1,0.1,,04 March 2003,
ALFA ROMEO,156 Saloon Range,GTA,M6,3179,Petrol,18.1,8.6,12.1,15.6,32.8,23.3,287,843,III,74.0,0.6,,0.1,0.1,,04 March 2003,
ALFA ROMEO,156 Saloon Range,2.4 JTD,M5,2387,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,175,478,III,73.5,0.5,0.5,,0.4,0.0,04 March 2003,
