Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
ALFA ROMEO,147 Range,1.6,M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,571,III,74.0,0.355,,0.119,0.090,
ALFA ROMEO,147 Range,2.0,M5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,620,III,74.0,0.439,,0.091,0.113,
ALFA ROMEO,147 Range,2.0 Selespeed,SAT5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,620,III,74.0,0.439,,0.091,0.113,
ALFA ROMEO,156 Saloon Range,1.6,M5,1598,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,571,III,72.0,0.428,,0.091,0.048,
ALFA ROMEO,156 Saloon Range,1.8,M5,1747,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,202,592,III,72.0,0.338,,0.076,0.038,
ALFA ROMEO,156 Saloon Range,2.0,M5,1970,Petrol,12.3,6.6,8.7,23.0,42.8,32.5,207,604,III,72.5,0.396,,0.067,0.048,
ALFA ROMEO,156 Saloon Range,2.0 Selespeed,SAT5,1970,Petrol,12.3,6.6,8.7,23.0,42.8,32.5,207,604,III,72.5,0.389,,0.077,0.097,
ALFA ROMEO,156 Saloon Range,2.5 V6,M6,2492,Petrol,17.5,8.5,11.8,16.1,33.2,23.9,282,822,III,73.5,0.905,,0.091,0.017,
ALFA ROMEO,156 Saloon Range,2.5 V6 Q-System,A4,2492,Petrol,17.5,8.6,11.9,16.1,32.8,23.7,283,829,III,73.0,1.369,,0.182,0.033,
ALFA ROMEO,156 Saloon Range,2.4 JTD,M5,2387,Diesel,8.9,5.4,6.7,31.7,52.3,42.2,178,485,III,71.5,0.435,0.497,,0.469,0.041
ALFA ROMEO,156 Saloon 2002 MY Range,1.6,M5,1598,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,571,III,72.0,0.428,,0.091,0.048,
ALFA ROMEO,156 Saloon 2002 MY Range,1.8,M5,1747,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,202,592,III,72.0,0.338,,0.076,0.038,
ALFA ROMEO,156 Saloon 2002 MY Range,2.5 V6,M6,2492,Petrol,17.5,8.5,11.8,16.1,33.2,23.9,282,822,III,73.5,0.905,,0.091,0.017,
ALFA ROMEO,156 Saloon 2002 MY Range,2.5 V6 Q-System,A4,2492,Petrol,17.5,8.6,11.9,16.1,32.8,23.7,283,829,III,73.0,1.369,,0.182,0.033,
ALFA ROMEO,156 Saloon 2002 MY Range,GTA,M6,3179,Petrol,18.1,8.6,12.1,15.6,32.8,23.3,287,843,III,74.0,0.610,,0.064,0.064,
ALFA ROMEO,156 Saloon 2002 MY Range,GTA Selespeed,SAT6,3179,Petrol,18.1,8.6,12.1,15.6,32.8,23.3,287,843,III,74.0,0.610,,0.064,0.064,
ALFA ROMEO,156 Saloon 2002 MY Range,2.4 JTD,M5,2387,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,175,478,III,73.5,0.544,0.459,,0.421,0.047
ALFA ROMEO,156 Sportwagon Range,1.6,M5,1598,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,198,578,III,72.0,0.428,,0.091,0.048,
ALFA ROMEO,156 Sportwagon Range,1.8,M5,1747,Petrol,12.2,6.5,8.6,23.2,43.5,32.8,205,599,III,72.0,0.338,,0.076,0.038,
ALFA ROMEO,156 Sportwagon Range,2.0,M5,1970,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,214,625,III,72.5,0.396,,0.067,0.048,
ALFA ROMEO,156 Sportwagon Range,2.0 Selespeed,SAT5,1970,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,214,625,III,72.5,0.389,,0.077,0.097,
ALFA ROMEO,156 Sportwagon Range,2.5 V6,M6,2492,Petrol,17.8,8.6,12.0,15.9,32.8,23.5,286,836,III,73.5,0.905,,0.091,0.017,
ALFA ROMEO,156 Sportwagon Range,2.5 V6 Q-System,A4,2492,Petrol,18.1,8.8,12.2,15.6,32.1,23.2,291,846,III,73.0,1.369,,0.182,0.033,
ALFA ROMEO,156 Sportwagon Range,2.4 JTD,M5,2387,Diesel,9.0,5.6,6.8,31.4,50.4,41.5,180,493,III,71.5,0.435,0.497,,0.469,0.041
ALFA ROMEO,156 Sportwagon 2002 MY Range,1.6,M5,1598,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,198,578,III,72.0,0.428,,0.091,0.048,
ALFA ROMEO,156 Sportwagon 2002 MY Range,1.8,M5,1747,Petrol,12.2,6.5,8.6,23.2,43.5,32.8,205,599,III,72.0,0.338,,0.076,0.038,
ALFA ROMEO,156 Sportwagon 2002 MY Range,2.5 V6,M6,2492,Petrol,17.8,8.6,12.0,15.9,32.8,23.5,286,836,III,73.5,0.905,,0.091,0.017,
ALFA ROMEO,156 Sportwagon 2002 MY Range,2.5 V6 Q-System,A4,2492,Petrol,18.1,8.8,12.2,15.6,32.1,23.2,291,846,III,73.0,1.369,,0.182,0.033,
ALFA ROMEO,156 Sportwagon 2002 MY Range,GTA,M6,3179,Petrol,18.4,8.8,12.3,15.4,32.1,23.0,293,854,III,74.0,0.610,,0.064,0.064,
ALFA ROMEO,156 Sportwagon 2002 MY Range,GTA Selespeed,SAT6,3179,Petrol,18.4,8.8,12.3,15.4,32.1,23.0,293,854,III,74.0,0.610,,0.064,0.064,
ALFA ROMEO,156 Sportwagon 2002 MY Range,2.4 JTD,M5,2387,Diesel,8.9,5.5,6.7,31.7,51.4,42.2,178,485,III,73.5,0.544,0.459,,0.421,0.047
ALFA ROMEO,166 Range,2.0,M6,1970,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,230,675,III,71.0,0.745,,0.108,0.058,
ALFA ROMEO,166 Range,2.5 V6,M6,2492,Petrol,17.2,8.8,11.9,16.4,32.1,23.7,284,829,III,72.5,1.116,,0.131,0.096,
ALFA ROMEO,166 Range,3.0 V6,M6,2959,Petrol,18.3,9.1,12.5,15.4,31.0,22.6,297,869,III,71.0,0.870,,0.130,0.084,
ALFA ROMEO,166 Range,3.0 V6 Sportronic,A4,2959,Petrol,19.4,9.3,13.0,14.6,30.4,21.7,310,905,III,72.0,0.548,,0.108,0.043,
ALFA ROMEO,Spider/GTV,2.0 TS 16v,M5,1970,Petrol,13.3,6.8,9.2,21.2,41.5,30.7,220,640,III,71.5,0.480,,0.096,0.070,
ALFA ROMEO,Spider/GTV,3.0 V6 24v,M6,2959,Petrol,16.8,8.7,11.7,16.8,32.5,24.1,278,815,III,71.0,0.876,,0.103,0.092,
ASTON MARTIN LAGONDA,Aston Martin,DB7 Vantage (Coupé & Convertible),A5,5935,Petrol,33.1,11.9,19.7,8.5,23.7,14.3,472,,III,74.0,*,,*,*,
ASTON MARTIN LAGONDA,Aston Martin,DB7 Vantage (Coupé & Convertible),M6,5935,Petrol,30.8,12.9,19.5,9.2,21.8,14.5,469,,III,75.0,*,,*,*,
ASTON MARTIN LAGONDA,Aston Martin,Vanquish,M6,5935,Petrol,25.6,11.5,16.7,11.0,24.5,16.9,396,1162,III,73.0,0.419,0.059,0.038,0.021,
AUDI,"Audi A2 (Standard, SE & Sport)",1.4 TDI ,M5,1422,Diesel,5.7,3.6,4.4,49.6,78.5,64.2,119,319,III,72.0,0.116,0.351,,0.331,0.018
AUDI,"Audi A3 (3 & 5 door, Standard SE & Sport)",1.9 TDI  (100 bhp),M5,1896,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,143,384,III,72.0,0.151,0.321,,0.296,0.025
AUDI,"Audi A3 (3 & 5 door, Standard SE & Sport)",1.9 TDI  (100 bhp),A4,1896,Diesel,8.7,5.2,6.5,32.5,54.3,43.5,176,470,III,68.0,0.115,0.456,,0.432,0.028
AUDI,"Audi A3 (3 & 5 door, Standard SE & Sport)",1.9 TDI  (130 bhp),M6,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,146,391,III,74.0,0.081,0.392,,0.376,0.029
AUDI,"Audi A3 (3 & 5 door, Standard SE & Sport)",1.8 (125 bhp),M5,1781,Petrol,10.7,6.3,7.9,26.4,44.8,35.8,190,549,III,72.0,0.874,,0.078,0.036,
AUDI,"Audi A3 (3 & 5 door, Standard SE & Sport)",1.8 (125 bhp),A4,1781,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,214,620,III,71.0,1.850,,0.164,0.110,
AUDI,Audi A3 (3 & 5 door Sport Quattro),1.9 TDI Quattro (130 bhp),QM6,1896,Diesel,8.1,5.2,6.3,34.9,54.3,44.8,170,457,III,75.0,0.158,0.432,,0.406,0.036
AUDI,Audi A3 (3 & 5 door Sport Quattro),1.8T Quattro (180 bhp),QM6,1781,Petrol,13.1,7.6,9.5,21.6,37.2,29.7,228,661,III,74.0,0.996,,0.064,0.035,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.9 TDI (100 bhp),M5,1896,Diesel,7.1,4.6,5.5,39.8,61.4,51.4,149,398,III,72.0,0.129,0.348,,0.324,0.031
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.9 TDI (130 bhp),M5,1896,Diesel,7.5,4.5,5.6,37.7,62.8,50.4,151,406,III,73.0,0.140,0.410,,0.377,0.026
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.5 V6 TDI (155 bhp),M6,2496,Diesel,9.8,5.4,7.0,28.8,52.3,40.4,189,506,III,74.0,0.093,0.315,,0.300,0.024
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.5 TDI V6 Quattro (180 bhp),QM6,2496,Diesel,11.2,6.0,7.9,25.2,47.1,35.8,213,571,III,72.0,0.070,0.364,,0.345,0.027
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.9 TDI (130 bhp),M5,1896,Diesel,7.6,4.6,5.7,37.2,61.4,49.6,154,412,III,73.0,0.140,0.410,,0.377,0.026
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 V6 TDI (155 bhp),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,74.0,0.093,0.315,,0.300,0.024
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 TDI V6 Quattro (180 bhp),QM6,2496,Diesel,11.3,6.1,8.0,25.0,46.3,35.3,216,580,III,72.0,0.070,0.364,,0.345,0.027
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.5 V6 TDI (155 bhp) multitronic,AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.023,0.346,,0.334,0.031
AUDI,A6 Saloon  (SE & Sport),2.7 V6 Turbo Quattro (250 bhp),QM6,2671,Petrol,16.8,9.0,11.8,16.8,31.4,23.9,283,822,III,73.0,0.660,,0.060,0.060,
AUDI,A6 Saloon  (SE & Sport),2.7 V6 Turbo Quattro Tiptronic (250 bhp),QA5,2671,Petrol,18.2,8.9,12.3,15.5,31.7,23.0,295,854,III,73.0,0.942,,0.133,0.117,
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.9 TDI PD (130 bhp),M5,1896,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,157,420,III,72.0,0.105,0.414,,0.396,0.029
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.9 TDI PD (130 bhp),M6,1896,Diesel,8.0,5.0,6.1,35.3,56.5,46.3,164,442,III,74.0,0.162,0.429,,0.404,0.030
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.5 V6 TDI (155 bhp),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,73.0,0.066,0.288,,0.273,0.025
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.5 V6 TDI Multitronic (155 bhp),AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.022,0.301,,0.288,0.035
AUDI,A6 Saloon  (SE & Sport),2.5 V6 TDI Quattro (180 bhp),QM6,2496,Diesel,11.3,6.4,8.1,25.0,44.1,34.9,219,586,III,73.0,0.004,0.338,,0.318,0.026
AUDI,A6 Saloon  (SE & Sport),2.5 V6 TDI Quattro Tiptronic (180 bhp),QA5,2496,Diesel,13.0,6.7,9.0,21.7,42.2,31.4,243,651,III,72.0,0.117,0.385,,0.343,0.034
AUDI,A6 Avant  (SE & Sport),2.7 V6 Turbo Quattro (250 bhp),QM6,2671,Petrol,16.8,9.0,11.8,16.8,31.4,23.9,283,822,III,73.0,0.660,,0.060,0.060,
AUDI,A6 Avant  (SE & Sport),2.7 V6 Turbo Quattro Tiptronic (250 bhp),QA5,2671,Petrol,18.2,8.9,12.3,15.5,31.7,23.0,295,854,III,73.0,0.942,,0.133,0.117,
AUDI,"A6 Avant  (Standard, SE & Sport)",1.9 TDI PD (130 bhp),M5,1896,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,157,420,III,72.0,0.105,0.414,,0.396,0.029
AUDI,"A6 Avant  (Standard, SE & Sport)",1.9 TDI PD (130 bhp),M6,1896,Diesel,8.0,5.2,6.2,35.3,54.3,45.6,167,449,III,74.0,0.162,0.429,,0.404,0.030
AUDI,"A6 Avant  (Standard, SE & Sport)",2.5 V6 TDI (155 bhp),M6,2496,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,192,514,III,73.0,0.066,0.288,,0.273,0.025
AUDI,"A6 Avant  (Standard, SE & Sport)",2.5 V6 TDI Multitronic (155 bhp),AV,2496,Diesel,9.4,5.8,7.1,30.1,48.7,39.8,192,514,III,72.0,0.022,0.301,,0.288,0.035
AUDI,A6 Avant  (SE & Sport),2.5 V6 TDI Quattro (180 bhp),QM6,2496,Diesel,11.3,6.4,8.1,25.0,44.1,34.9,219,586,III,73.0,0.004,0.338,,0.318,0.026
AUDI,A6 Avant  (SE & Sport),2.5 V6 TDI Quattro Tiptronic (180 bhp),QA5,2496,Diesel,13.0,6.7,9.0,21.7,42.2,31.4,243,651,III,72.0,0.117,0.385,,0.343,0.034
AUDI,Audi Allroad ,2.5 V6 TDI Quattro (180 bhp)(Low & High Ratio Transmission),QM6,2496,Diesel,12.4,7.1,9.0,22.8,39.8,31.4,243,651,III,72.0,0.108,0.426,,0.396,0.031
AUDI,Audi Allroad ,2.5 V6 TDI Quattro (180 bhp),QA5,2496,Diesel,13.5,7.6,9.7,20.9,37.2,29.1,262,703,III,71.0,0.082,0.408,,0.378,0.042
AUDI,Audi Allroad ,2.7 V6 Turbo Quattro (250 bhp)(Low & High Ratio Transmission),QM6,2671,Petrol,18.1,9.9,12.9,15.6,28.5,21.9,310,897,III,73.0,0.958,,0.082,0.066,
AUDI,Audi Allroad ,2.7 V6 Turbo Quattro Tiptronic (250 bhp),QA5,2671,Petrol,19.4,9.9,13.4,14.6,28.5,21.1,322,931,III,70.0,1.047,,0.158,0.108,
AUDI,Audi RS4,2.7 V6 Quattro (380 bhp),QM6,2671,Petrol,17.0,9.0,12.0,16.6,31.4,23.5,288,836,III,70.0,0.422,,0.095,0.065,
AUDI,Audi 'S' Series,S3 1.8T Quattro (225 bhp),QM6,1781,Petrol,13.2,7.1,9.4,21.4,39.8,30.1,226,652,III,71.0,1.352,,0.142,0.080,
AUDI,Audi 'S' Series,S6 4.2 V8 Quattro Saloon Tiptronic (340 bhp),QA5,4172,Petrol,21.9,10.2,14.4,12.9,27.7,19.6,346,1002,III,74.0,0.988,,0.131,0.071,
AUDI,Audi 'S' Series,S6 4.2 V8 Quattro Avant Tiptronic (340 bhp),QA5,4172,Petrol,22.0,10.3,14.5,12.8,27.4,19.5,348,1007,III,74.0,0.988,,0.131,0.071
AUDI,Audi 'S' Series,S8 4.2 Quattro Tiptronic (360 bhp) (available until 10/2002),QA5,4172,Petrol,22.2,9.8,14.3,12.7,28.8,19.8,343,992,III,74.0,0.918,,0.133,0.043
AUDI,Audi TT (Coupé),1.8 20v T Quattro (180 bhp),QM6,1781,Petrol,13.1,7.6,9.5,21.6,37.2,29.7,228,661,III,74.0,0.996,,0.064,0.035
AUDI,Audi TT (Coupé),1.8 20v T Quattro (225 bhp),QM6,1781,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,226,652,III,73.0,1.331,,0.115,0.076
AUDI,Audi TT (Roadster),1.8 20v T Quattro (180 bhp),QM6,1781,Petrol,13.2,7.7,9.6,21.4,36.7,29.4,230,668,III,74.0,0.996,,0.064,0.035
AUDI,Audi TT (Roadster),1.8 20v T Quattro (225 bhp),QM6,1781,Petrol,13.4,7.2,9.5,21.1,39.2,29.7,228,661,III,73.0,1.331,,0.115,0.076
BMW,3 Series E36,Z3 Roadster 1.9i,M5,1895,Petrol,11.5,5.9,7.9,24.6,47.9,35.8,189,549,III,74.0,1.160,,0.122,0.069
BMW,3 Series E36,Z3 Roadster 2.2i,M5,2171,Petrol,12.6,7.3,9.2,22.4,38.7,30.7,222,640,III,74.0,1.020,,0.127,0.037
BMW,3 Series E36,Z3 Roadster 2.2i,A5,2171,Petrol,13.1,7.6,9.6,21.6,37.2,29.4,229,668,III,73.0,0.585,,0.110,0.033
BMW,3 Series E36,Z3 Roadster 3.0i,M5,2979,Petrol,13.3,7.3,9.5,21.2,38.7,29.7,228,661,III,74.0,0.269,,0.048,0.009
BMW,3 Series E36,Z3 Roadster 3.0i,A5,2979,Petrol,14.3,7.6,10.1,19.8,37.2,28.0,242,701,III,74.0,0.288,,0.058,0.006
BMW,3 Series E36,M Roadster,M5,3246,Petrol,16.6,7.9,11.1,17.0,35.8,25.4,268,773,III,75.0,0.857,,0.108,0.056
BMW,3 Series E36,M Coupé,M5,3246,Petrol,16.6,7.9,11.1,17.0,35.8,25.4,268,773,III,75.0,0.857,,0.108,0.056
