,,,,,,Fuel Consumption and CO2 Emissions,,,,,,,,"Other Type Approval Emissions Data                                        (read ""How to use the list""                                                      before comparing models).",,,,,,
,,,,,,,Metric l/100km,,,Imperial mpg,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Manufacturer/Model,Model,Description,Trans-mission,Engine Capacity cc,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Comb-ined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Comb-ined,CO2 g/km,Fuel Cost   of driving 12000 Miles (£'s),Noise Level dB(A) (moving),Emissions CO    (g/km),Emissions HC    (g/km),Emissions  NOx        (g/km),Emissions    HC+NOx          (g/km),Emissions        Particles              (g/km),
ALFA ROMEO,147,1.6 TS (105 bhp) ,M5,1598,Petrol,11.1,6.3,8.1,25.4,44.8,34.9,192,1250,72.0,0.414,0.052,0.042,,,
ALFA ROMEO,147,1.6 (120 bhp) ,M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,1269,74.0,0.355,0.119,0.090,,,
ALFA ROMEO,147,2.0,M5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,1377,74.0,0.439,0.091,0.113,,,
ALFA ROMEO,147,2.0 Selespeed ,SAT5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,1377,74.0,0.439,0.091,0.113,,,
ALFA ROMEO,147,1.9 JTD ,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,155,941,70.5,0.309,,0.435,0.479,0.037,
ALFA ROMEO,147,1.9 JTD 16v M-Jet (140 bhp) ,M6,1910,Diesel,8.0,4.7,5.9,35.3,60.1,47.9,157,957,74.0,0.342,,0.331,0.383,0.046,
ALFA ROMEO,147,1.9 JTD 16v M-Jet (150 bhp) ,M6,1910,Diesel,8.0,4.7,5.9,35.3,60.1,47.9,157,957,74.0,0.366,,0.395,0.443,0.042,
ALFA ROMEO,156 Saloon ,1.6,M5,1598,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,1269,72.0,0.428,0.091,0.048,,,
ALFA ROMEO,156 Saloon ,1.8,M5,1747,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,202,1315,72.0,0.338,0.076,0.038,,,
ALFA ROMEO,156 Saloon ,GTA ,M6,3179,Petrol,18.1,8.6,12.1,15.6,32.8,23.3,287,1873,74.0,0.610,0.064,0.064,,,
ALFA ROMEO,156 Saloon ,GTA Selespeed ,SAT6,3179,Petrol,18.1,8.6,12.1,15.6,32.8,23.3,287,1873,74.0,0.610,0.064,0.064,,,
ALFA ROMEO,156 Saloon ,1.9 JTD ,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,155,941,73.0,0.218,,0.317,0.349,0.036,
ALFA ROMEO,156 Saloon ,1.9 JTD 16v M-Jet (140 bhp) ,M6,1910,Diesel,8.0,4.7,5.9,35.3,60.1,47.9,157,957,73.0,0.329,,0.432,0.485,0.042
ALFA ROMEO,156 Saloon ,1.9 JTD 16v M-Jet (150 bhp) ,M6,1910,Diesel,8.0,4.7,5.9,35.3,60.1,47.9,157,957,73.0,0.512,,0.302,0.367,0.037
ALFA ROMEO,156 Saloon ,2.4 JTD 20v M-Jet ,M6,2387,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,175,1071,74.5,0.238,,0.348,0.388,0.040
ALFA ROMEO,156 Sportwagon ,1.8,M5,1747,Petrol,12.2,6.5,8.6,23.2,43.5,32.8,205,1331,72.0,0.338,0.076,0.038,,
ALFA ROMEO,156 Sportwagon ,GTA ,M6,3179,Petrol,18.4,8.8,12.3,15.4,32.1,23.0,293,1897,74.0,0.610,0.064,0.064,,
ALFA ROMEO,156 Sportwagon ,GTA Selespeed ,SAT6,3179,Petrol,18.4,8.8,12.3,15.4,32.1,23.0,293,1897,74.0,0.610,0.064,0.064,,
ALFA ROMEO,156 Sportwagon ,1.9 JTD ,M5,1910,Diesel,7.9,4.9,6.0,35.8,57.6,47.1,160,973,73.0,0.218,,0.317,0.349,0.036
ALFA ROMEO,156 Sportwagon ,1.9 JTD 16v M-Jet (140 bhp) ,M6,1910,Diesel,8.2,4.8,6.1,34.4,58.9,46.3,161,990,73.0,0.329,,0.432,0.485,0.042
ALFA ROMEO,156 Sportwagon ,1.9 JTD 16v M-Jet (150 bhp) ,M6,1910,Diesel,8.2,4.8,6.1,34.4,58.9,46.3,161,990,73.0,0.512,,0.302,0.367,0.037
ALFA ROMEO,156 Sportwagon ,2.4 JTD 20v M-Jet ,M6,2387,Diesel,8.9,5.5,6.7,31.7,51.4,42.2,178,1086,74.5,0.238,,0.348,0.388,0.040
ALFA ROMEO,GT ,1.9 JTD 16v M-Jet ,M6,1910,Diesel,8.7,5.4,6.7,32.5,52.3,42.2,176,1086,74.5,0.303,,0.472,0.519,0.024
ALFA ROMEO,Spider/GTV ,2.0 TS 16v ,M5,1970,Petrol,13.3,6.8,9.2,21.2,41.5,30.7,220,1422,71.5,0.480,0.096,0.070,,
ALFA ROMEO,Spider/GTV ,3.2 V6 ,M6,3179,Petrol,19.9,9.3,13.2,14.2,30.4,21.4,315,2039,73.0,0.402,0.037,0.039,,
ALFA ROMEO,166,2.0 TS ,M6,1970,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,230,1500,71.0,0.745,0.108,0.058,,
ALFA ROMEO,166,3.0 V6 24v Sportronic ,A4,2959,Petrol,19.4,9.3,13.0,14.6,30.4,21.7,310,2011,72.0,0.548,0.108,0.043,,
ASTON MARTIN LAGONDA,DB7,DB7 GT ,M6,5935,Petrol,30.7,13.6,19.9,9.2,20.7,14.2,476,3073,75.0,*,*,*,,
ASTON MARTIN LAGONDA,DB7,DB7 GTA ,A5,5935,Petrol,33.1,11.9,19.7,8.5,23.7,14.3,472,3052,74.0,*,*,*,,,,
ASTON MARTIN LAGONDA,DB7,DB7 Vantage (Coupé & Convertible) ,A5,5935,Petrol,33.1,11.9,19.7,8.5,23.7,14.3,472,3052,74.0,*,*,*,,,,
ASTON MARTIN LAGONDA,DB7,DB7 Vantage (Coupé & Convertible) ,M6,5935,Petrol,30.8,12.9,19.5,9.2,21.9,14.5,469,3010,75.0,*,*,*,,,,
ASTON MARTIN LAGONDA,Vanquish,Vanquish ,M6,5935,Petrol,25.6,11.5,16.7,11.0,24.5,16.9,396,2582,73.0,0.503,0.046,0.025,,,,
AUDI,A8 ,4.0 V8 TDI quattro (275 PS),QA6,3936,Diesel,13.6,7.7,9.8,20.8,36.7,28.8,265,710,III,70.0,0.133,0.384,,0.369,0.037,24 February 2004
AUDI,A8 ,4.0 TDI V8 quattro (275 PS) LWB,QA6,3936,Diesel,13.6,7.7,9.8,20.8,36.7,28.8,265,710,III,70.0,0.133,0.384,,0.369,0.037,25 February 2004
AUDI,Audi Allroad (Up to June 2005) ,2.5 TDI V6 quattro (180 PS),QA5,2496,Diesel,13.2,7.4,9.5,21.4,38.2,29.7,257,689,III,71.0,0.167,0.406,,0.384,0.039,16 March 2005
AUDI,Audi Allroad (Up to June 2005) ,2.5 TDI V6 quattro (180 PS)(Low & High Ratio Transmission),QM6,2496,Diesel,12.1,6.9,8.8,23.3,40.9,32.1,238,637,III,72.0,0.153,0.426,,0.396,0.026,16 March 2005
AUDI,Audi Allroad (Up to June 2005) ,2.5 TDI V6 quattro (163 PS),QM6,2496,Diesel,12.1,6.9,8.8,23.3,40.9,32.1,238,637,III,75.0,0.037,0.375,,0.365,0.033,16 March 2004
AUDI,Audi TT (Coupé),1.8 T quattro (180 PS),QM6,1781,Petrol,13.1,7.6,9.5,21.6,37.2,29.7,228,661,III,74.0,0.996,,0.064,0.035,,24 February 2004
AUDI,Audi TT (Coupé),1.8 T quattro (225 PS),QM6,1781,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,226,652,III,73.0,1.331,,0.115,0.076,,24 February 2004
AUDI,Audi TT (Roadster),1.8 T quattro (180 PS),QM6,1781,Petrol,13.2,7.7,9.6,21.4,36.7,29.4,230,668,III,74.0,0.996,,0.064,0.035,,24 February 2004
AUDI,Audi TT (Roadster),1.8 T quattro (225 PS),QM6,1781,Petrol,13.4,7.2,9.5,21.1,39.2,29.7,228,661,III,73.0,1.331,,0.115,0.076,,24 February 2004
BMW,Z4 Series E85,Z4 2.2i Roadster ,M5,2171,Petrol,12.8,6.7,8.8,22.1,42.2,32.1,214,1360,73.0,0.753,0.118,0.059,,,,
BMW,Z4 Series E85,Z4 2.2i Roadster ,A5,2171,Petrol,13.7,6.9,9.3,20.6,40.9,30.4,226,1436,73.0,0.364,0.118,0.017,,,,
BMW,Z4 Series E85,Z4 2.5i Roadster ,M5,2494,Petrol,12.5,6.9,8.9,22.6,40.9,31.7,216,1377,72.0,0.048,0.064,0.022,,,,
BMW,Z4 Series E85,Z4 2.5i Roadster - SMG ,M6,2494,Petrol,12.5,6.9,8.9,22.6,40.9,31.7,216,1377,72.0,0.238,0.064,0.031,,
BMW,Z4 Series E85,Z4 2.5i Roadster ,A5,2494,Petrol,13.5,7.3,9.5,20.9,38.7,29.7,231,1469,72.0,0.180,0.080,0.024,,
BMW,Z4 Series E85,Z4 3.0i Roadster ,M6,2979,Petrol,13.5,6.6,9.1,20.9,42.8,31.0,221,1408,72.0,0.270,0.056,0.020,,
BMW,Z4 Series E85,Z4 3.0i Roadster - SMG ,M6,2979,Petrol,13.5,6.6,9.1,20.9,42.8,31.0,221,1408,72.0,0.270,0.056,0.020,,
BMW,Z4 Series E85,Z4 3.0i Roadster ,A5,2979,Petrol,13.5,7.3,9.5,20.9,38.7,29.7,231,1469,72.0,0.503,0.082,0.016,,
BMW,3 Series E46,316 ti Compact ,M5,1796,Petrol,9.8,5.4,7.0,28.8,52.3,40.4,170,1080,73.0,0.973,0.146,0.064,,
