Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates
ASTON MARTIN LAGONDA,DB7,DB7 GT,M6,5935,Petrol,30.7,13.6,19.9,9.2,20.7,14.2,476,3458,III,75,*,*,*,,
ASTON MARTIN LAGONDA,DB7,DB7 GTA,A5,5935,Petrol,33.1,11.9,19.7,8.5,23.7,14.3,472,3433,III,74,*,*,*,,
ASTON MARTIN LAGONDA,DB7,DB7 Vantage (Coupé & Convertible),A5,5935,Petrol,33.1,11.9,19.7,8.5,23.7,14.3,472,3433,III,74,*,*,*,,
ASTON MARTIN LAGONDA,DB7,DB7 Vantage (Coupé & Convertible),M6,5935,Petrol,30.8,12.9,19.5,9.2,21.9,14.5,469,3386,III,75,*,*,*,,
ASTON MARTIN LAGONDA,Vanquish,Vanquish,M6,5935,Petrol,25.6,11.5,16.7,11,24.5,16.9,396,2905,III,73,0.503,0.046,0.025,,
AUDI,A8 ,4.0 V8 TDI quattro (275 PS),QA6,3936,Diesel,13.6,7.7,9.8,20.8,36.7,28.8,265,1781,III,70,0.133,,0.369,0.384,0.037
AUDI,A8 ,4.0 V8 TDI quattro (275 PS) LWB,QA6,3936,Diesel,13.6,7.7,9.8,20.8,36.7,28.8,265,1781,III,70,0.133,,0.369,0.384,0.037
AUDI,allroad,2.5 TDI V6 quattro (163 PS),QM6,2496,Diesel,12.1,6.9,8.8,23.3,40.9,32.1,238,1597,III,75,0.153,,0.396,0.43,0.026
AUDI,allroad,2.5 TDI V6 quattro Tiptronic (180 PS),QA5,2496,Diesel,13.5,7.6,9.7,20.9,37.2,29.1,262,1762,III,71,0.115,,0.378,0.408,0.035
AUDI,allroad,2.5 TDI V6 quattro (180 PS)(Low Ratio Transmission),QM6,2496,Diesel,12.4,7.1,9,22.8,39.8,31.4,243,1633,III,72,0.153,,0.396,0.426,0.026
BMW,X5 Series E53,X5 3.0d,M6,2993,Diesel,11.4,7,8.6,24.8,40.4,32.8,229,1563,III,76,0.157,,0.607,0.671,0.055
BMW,X5 Series E53,X5 3.0d,A6,2993,Diesel,12,8,9.4,23.5,35.3,30.1,250,1704,III,72,0.145,,0.599,0.639,0.055
CADILLAC,XLR,4.6 - V8 AUT,A5,4565,Petrol,18.2,9,12.3,15.5,31.4,23,291,2135,III,74,0.923,0.112,0.048,,
CHEVROLET,Matiz (Old),1.0 SE 5 door Hatchback,M5,995,Petrol,8.8,5.3,6.6,32.1,53.3,42.8,158,1147,III,67.2,0.66,0.06,0.1,,
CHEVROLET,Matiz (Old),1.0 SE+ a/c abs 5 door Hatchback,M5,995,Petrol,8.8,5.3,6.6,32.1,53.3,42.8,158,1147,III,67.2,0.66,0.06,0.1,,
CHEVROLET,Matiz (Old),1.0 LE 5 door Hatchback,M5,995,Petrol,8.8,5.3,6.6,32.1,53.3,42.8,158,1147,III,67.2,0.66,0.06,0.1,,
CHEVROLET,Kalos,1.2 S 3 door Hatchback,M5,1150,Petrol,8.4,5.5,6.6,33.6,51.4,42.8,159,1147,III,69.2,0.68,0.02,0.07,,
CHEVROLET,Kalos,1.2 SE 5 door Hatchback,M5,1150,Petrol,8.4,5.5,6.6,33.6,51.4,42.8,159,1147,III,69.2,0.68,0.02,0.07,,
CHEVROLET,Kalos,1.4 SX 3 door Hatchback,M5,1399,Petrol,9.1,6,7.1,31,47.1,39.8,171,1234,III,69,0.61,0.02,0.08,,
CHEVROLET,Kalos,1.4 SX 5 door Hatchback,M5,1399,Petrol,9.1,6,7.1,31,47.1,39.8,171,1234,III,69,0.61,0.02,0.08,,
CHEVROLET,Kalos,1.4 SX Auto 5 door Hatchback,A4,1399,Petrol,10.5,6,7.6,26.9,47.1,37.2,178,1320,III,68.5,0.9,0.02,0.11,,
CHEVROLET,Kalos,1.4 Sport 3 door Hatchback,M5,1399,Petrol,9.1,6,7.1,31,47.1,39.8,171,1234,III,69,0.61,0.02,0.08,,
CHEVROLET,Kalos,1.4 IKON 3 door Hatchback,M5,1399,Petrol,9.1,6,7.1,31,47.1,39.8,171,1234,III,69,0.61,0.02,0.08,,
CHEVROLET,Tacuma,1.6 SX 5 door MPV,M5,1598,Petrol,11,6.7,8.3,25.7,42.2,34,208,1444,III,71.4,0.66,0.04,0.08,,
CHEVROLET,Tacuma,2.0 CDX 5 door MPV,M5,1998,Petrol,12,7.2,9,23.5,39.2,31.4,236,1564,III,73.1,1,0.05,0.07,,
CHEVROLET,Tacuma,2.0 CDX Auto 5 door MPV,A4,1998,Petrol,15.1,8.2,10.8,18.7,34.4,26.2,265,1874,III,71.8,0.84,0.07,0.09,,
CHEVROLET,Lacetti,1.4 SE 5 door Hatchback,M5,1399,Petrol,9.3,5.9,7.1,30.4,47.9,39.8,171,1234,III,68.6,0.53,0.07,0.05,,
CHEVROLET,Lacetti,1.6 SX 4 door Saloon,M5,1598,Petrol,9.1,6,7.6,31,47.1,37.2,178,1320,III,71.2,0.78,0.02,0.05,,
CHEVROLET,Lacetti,1.6 SX 5 door Hatchback,M5,1598,Petrol,9.1,6,7.6,31,47.1,37.2,178,1320,III,71.2,0.78,0.05,0.02,,
CHEVROLET,Lacetti,1.6 SX Auto 5 door Hatchback,A4,1598,Petrol,11.2,6.2,8.1,25.2,45.6,34.9,197,1407,III,69.2,1.25,0.11,0.02,,
CHEVROLET,Lacetti,1.6 SX Station Wagon,M5,1598,Petrol,10.3,6.3,7.8,27.4,44.8,36.2,181,1356,III,71.2,0.68,0.02,0.07,,
CHEVROLET,Lacetti,1.8 CDX 4 door Saloon,M5,1799,Petrol,9.8,6.2,7.5,28.8,45.6,37.7,183,1302,III,71,0.36,0.08,0.04,,
CHEVROLET,Lacetti,1.8 CDX Auto 4 door Saloon,A4,1799,Petrol,12.5,6.9,9.1,22.6,39.8,31,218,1584,III,68.1,0.49,0.06,0.06,,
CHEVROLET,Lacetti,1.8 Sport 5 door Hatchback,M5,1799,Petrol,9.8,6.2,7.5,28.8,45.6,37.7,183,1302,III,71,0.36,0.08,0.04,,
CHEVROLET,Lacetti,1.8 Sport Station Wagon,M5,1799,Petrol,9.8,6.2,7.5,28.8,45.6,37.7,183,1302,III,71,0.36,0.08,0.04,,
CHRYSLER JEEP,Chrysler Neon (03MY),2.0L SOHC,M5,1996,Petrol,10,6.1,7.5,28.2,46.3,37.7,179,1302,III,72,0.837,0.071,0.031,0.102,
CHRYSLER JEEP,Chrysler Neon (03MY),2.0L SOHC,A4,1996,Petrol,12,7,8.9,23.5,40.4,31.7,211,1549,III,71,0.631,0.085,0.054,0.139,
CHRYSLER JEEP,Chrysler Neon (03MY),(RT) 2.0L SOHC,M5,1996,Petrol,10.2,6.3,8.1,27.7,44.8,34.9,184,1407,III,74,1.626,0.093,0.05,0.143,
CHRYSLER JEEP,Jeep Wrangler (03MY),4.0L,M5,3960,Petrol,20.5,9,13.2,13.8,31.4,21.4,315,2294,III,74,1.348,0.114,0.062,0.176,
CHRYSLER JEEP,Jeep Wrangler (03MY),4.0L,A4,3960,Petrol,23,10.7,15,12.3,26.4,18.8,362,2612,III,72,1.44,0.161,0.097,0.258,
CHRYSLER JEEP,Jeep Wrangler (03MY),2.4L (LHD),M5,2429,Petrol,14,8.3,10.4,20.2,34,27.2,248,1805,III,73,0.515,0.04,0.036,0.076,
CHRYSLER JEEP,Jeep Cherokee (04MY),2.5 CRD,M5,2499,Diesel,11.7,7.5,9,24.1,37.7,31.4,250,1633,III,75,0.483,,0.633,0.676,0.075
CHRYSLER JEEP,Jeep Cherokee (04MY),2.8 CRD,A5,2776,Diesel,12.7,8.2,9.9,22.2,34.4,28.5,262,1799,III,74,0.082,,0.699,0.72,0.068
CHRYSLER JEEP,Jeep Cherokee (04MY),3.7L,A5,3700,Petrol,18.6,10.3,13,15.2,27.4,21.7,318,2263,III,74,0.705,0.072,0.052,0.124,
CHRYSLER JEEP,Jeep Cherokee (04MY),2.4L,M5,2429,Petrol,14,8.8,10.5,20.2,32.1,26.9,255,1825,III,74,0.428,0.02,0.012,0.032,
CHRYSLER JEEP,Chrysler PT Cruiser (04MY),2.0L,M5,1996,Petrol,11.7,7.2,8.9,24.1,39.2,31.7,212,1549,III,73,0.828,0.066,0.028,0.094,
CHRYSLER JEEP,Chrysler PT Cruiser (04MY),2.0L,A4,1996,Petrol,13.2,8.2,10,21.4,34.4,28.2,239,1741,III,72,0.646,0.078,0.057,0.135,
CHRYSLER JEEP,Chrysler Voyager 05MY,2.4 SE,M5,2429,Petrol,13.1,7.9,9.8,21.6,35.8,28.5,235,1723,III,73,0.735,0.06,0.085,0.145,
CHRYSLER JEEP,Chrysler Voyager 05MY,2.4 LX,M5,2429,Petrol,13.1,7.9,9.8,21.6,35.8,28.5,235,1723,III,73,0.735,0.06,0.085,0.145,
CHRYSLER JEEP,Chrysler Voyager 05MY,2.5CRD SE,M5,2499,Diesel,9.9,6.4,7.7,28.5,44.1,36.7,203,1397,III,74,0.668,0.057,0.585,0.642,0.049
CHRYSLER JEEP,Chrysler Voyager 05MY,2.8CRD LX,A4,2776,Diesel,11.3,6.6,8.4,25,32.8,29.4,221,1744,III,75,0.058,0.016,0.537,0.553,0.058
CHRYSLER JEEP,Chrysler Grand Voyager 05MY,2.8CRD Limited,A4,2776,Diesel,11.5,6.7,8.5,24.6,32.3,28.9,225,1774,III,75,0.061,0.017,0.573,0.59,0.057
CHRYSLER JEEP,Chrysler Grand Voyager 05MY,2.8CRD Limited XS,A4,2776,Diesel,11.5,6.7,8.5,24.6,32.3,28.9,225,1774,III,75,0.061,0.017,0.573,0.59,0.057
CHRYSLER JEEP,Chrysler Grand Voyager 05MY,3.3 LX,A4,3301,Petrol,18.2,10.5,13.3,15.5,26.9,21.2,319,2316,III,70,0.754,0.074,0.029,0.103,
CHRYSLER JEEP,Chrysler Grand Voyager 05MY,3.3 Limited,A4,3301,Petrol,18.2,10.5,13.3,15.5,26.9,21.2,319,2316,III,70,0.754,0.074,0.029,0.103,
CHRYSLER JEEP,Chrysler Grand Voyager 05MY,3.3 Limited XS,A4,3301,Petrol,18.2,10.5,13.3,15.5,26.9,21.2,319,2316,III,70,0.754,0.074,0.029,0.103,
CHRYSLER JEEP,Chrysler Crossfire,Coupé,M6,3199,Petrol,15.4,7.6,10.4,18.3,37.2,27.2,256,1805,III,72,0.447,0.048,0.031,0.079,
CHRYSLER JEEP,Chrysler Crossfire,Coupé,A5,3199,Petrol,14.3,7.7,10.1,19.8,36.7,28,240,1753,III,71,0.408,0.066,0.02,0.086,
CHRYSLER JEEP,Chrysler Crossfire,Roadster,A5,3199,Petrol,14.3,7.7,10.1,19.8,36.7,28,243,1753,III,71,0.408,0.066,0.02,0.086,
CHRYSLER JEEP,Chrysler Crossfire,Roadster,M6,3199,Petrol,15.4,7.6,10.4,18.3,37.2,27.2,250,1805,III,72,0.447,0.048,0.031,0.079,
CHRYSLER JEEP,Jeep Cherokee (05MY),2.4L,M6,2429,Petrol,14,8.8,10.5,20.2,32.1,26.9,255,1825,III,75,0.518,0.034,0.017,0.051,
CHRYSLER JEEP,Jeep Cherokee (05MY),2.8L,M6,2776,Diesel,12,7.7,9.3,23.5,36.7,30.4,246,1687,III,75,0.387,,0.623,0.669,0.078
CHRYSLER JEEP,Jeep Cherokee (05MY),2.8L,A5,2776,Diesel,12.7,8.2,9.9,22.2,34.4,28.5,262,1799,III,73,0.15,,0.617,0.64,0.076
CHRYSLER JEEP,Jeep Cherokee (05MY),3.7L,A4,3700,Petrol,18,10.3,13,15.7,27.4,21.7,314,2263,III,75,0.548,0.059,0.046,0.105,
CHRYSLER JEEP,Chrysler PT Cruiser (05MY),2.2 CRD,M5,2148,Diesel,9.1,5.6,6.9,31,50.4,40.9,185,1254,III,74,0.017,,0.407,0.416,0.047
CHRYSLER JEEP,Chrysler PT Cruiser (05MY),2.4L Convertible / Hatchback,M5,2429,Petrol,13.5,7.6,9.7,20.9,37.2,29.1,231,1687,III,74,0.709,0.082,0.009,0.091,
CHRYSLER JEEP,Chrysler PT Cruiser (05MY),2.4L Convertible,A4,2429,Petrol,14.4,8.6,10.8,19.6,32.8,26.2,256,1874,III,73,0.533,0.057,0.024,0.081,
CHRYSLER JEEP,Chrysler PT Cruiser (05MY),2.4L Hatchback,A4,2429,Petrol,14.2,8.4,10.5,19.9,33.6,26.9,251,1825,III,73,0.468,0.056,0.023,0.079,
CHRYSLER JEEP,Jeep Wrangler (05MY),4.0L,M6,3960,Petrol,18.9,10,13,14.9,28.2,21.7,323,2263,III,74,0.611,0.04,0.004,0.044,
CHRYSLER JEEP,Jeep Wrangler (05MY),4.0L,A4,3960,Petrol,18.5,10,13,15.3,28.2,21.7,321,2263,III,72,0.551,0.036,0.024,0.06,
CHRYSLER JEEP,Jeep Wrangler (05MY),2.4L (LHD),M6,2429,Petrol,13.5,8,10,20.9,35.3,28.2,246,1741,III,75,0.366,0.019,0.006,0.025,
CHRYSLER JEEP,Dodge SRT/10,SRT/10,M6,8285,Petrol,34,13.2,21.1,8.2,21.4,13.4,488,3664,III,75,0.64,0.039,0.009,0.048,
CITROEN,C8,2.0 HDi 16v,M5,1997,Diesel,9.4,5.9,7.2,30.1,47.9,39.2,189,1308,III,73.4,0.265,,0.445,0.498,0.003
CITROEN,C8,2.0 HDi 16v,A4,1997,Diesel,10.8,6.4,8,26.2,44.1,35.3,210,1453,III,71.7,0.134,,0.585,0.608,0.004
CITROEN,C8,2.2 HDi 16v,M6,2179,Diesel,9.7,6.1,7.3,29.1,46.3,48.7,195,1053,III,73.1,0.139,,0.597,0.619,0.007
CITROEN,C8,2.0 HDi 16v (non-DPFS),M5,1997,Diesel,9.2,5.9,7,30.7,47.8,30.3,186,1692,III,72.9,0.303,,0.422,0.461,0.042
CITROEN,Dispatch Combi,2.0 HDi 110 hp,M5,1997,Diesel,8.7,5.6,6.7,32.5,50.4,42.2,180,1215,III,74.5,0.541,,0.528,0.594,0.04
DAIHATSU,Copen,L880 660cc EFi,M5,660,Petrol,7.9,5.6,6.4,35.8,50.4,44.1,151,1113,III,71.6,1.381,0.13,0.036,,
DAIHATSU,Terios,J102 1.3L EFi 4WD,M5,1298,Petrol,9.4,6.8,7.7,30.1,41.5,36.7,183,1338,III,71,0.713,0.078,0.016,0.094,
DAIHATSU,Terios,J102 1.3L EFi 4WD,A4,1298,Petrol,10.8,7.2,8.4,26.2,39.2,33.6,200,1461,III,65,0.637,0.079,0.018,0.097,
FIAT,Scudo Combi,2.0 JTD 16v Combi ,M5,1997,Diesel,8.9,6,7,31.7,47.1,40.4,186,1269,III,74.7,0.373,,0.476,0.513,0.026
FIAT,Ducato,2.3 JTD Combi,M5,2286,Diesel,8.7,7.3,7.8,32.5,38.7,36.2,208,1417,III,72,0.665,,0.659,0.729,0.088
FORD,Ka,1.3 Duratec (no AC),M5,1299,Petrol,8.4,4.9,6.2,33.6,57.6,45.6,147,1077,III,71,0.397,0.064,0.02,,
FORD,Ka,1.3 Duratec (with AC) ,M5,1299,Petrol,8.9,5.1,6.5,31.7,55.4,43.5,154,1129,III,71,0.444,0.079,0.025,,
FORD,Ka,1.6 Duratec Sportka,M5,1597,Petrol,10.4,6,7.6,27.2,47.1,37.2,182,1320,III,74,0.547,0.046,0.039,,
FORD,Street Ka,1.6i ,M5,1597,Petrol,10.6,6.4,7.9,26.6,44.1,35.8,189,1371,III,74,0.547,0.046,0.039,,
FORD,Fiesta Pre-2006 Model Year,1.25 Duratec,M5,1242,Petrol,8.6,4.9,6.2,32.8,57.6,45.6,147,1077,III,72,0.308,0.059,0.027,,
FORD,Fiesta Pre-2006 Model Year,1.3 Duratec,M5,1299,Petrol,8.4,5,6.2,33.6,56.5,45.6,147,1077,III,72,0.354,0.074,0.03,,
FORD,Fiesta Pre-2006 Model Year,1.4 Duratec,M5,1388,Petrol,8.7,5.2,6.5,32.5,54.3,43.5,154,1129,III,71,0.432,0.056,0.036,,
FORD,Fiesta Pre-2006 Model Year,1.6 Duratec,M5,1596,Petrol,9.1,5.2,6.6,31,54.3,42.8,156,1147,III,71,0.226,0.059,0.06,,
FORD,Fiesta Pre-2006 Model Year,1.6 Duratec (Zetec S),M5,1596,Petrol,9.2,5.4,6.8,30.7,52.3,41.5,159,1183,III,71,0.25,0.066,0.036,,
FORD,Fiesta Pre-2006 Model Year,1.4 Duratorq TDCi,M5,1399,Diesel,5.4,3.8,4.4,52.3,74.3,64.2,116,799,III,70,0.154,,0.423,0.438,0.036
FORD,Fiesta Pre-2006 Model Year,1.4 Duratorq TDCi,ASM  ,1399,Diesel,5.4,3.8,4.4,52.3,74.3,64.2,116,799,III,70,0.278,,0.442,0.469,0.021
FORD,Fiesta Pre-2006 Model Year,1.6 Duratorq TDCi,M5,1560,Diesel,5.4,4.1,4.5,52.3,68.9,62.8,119,817,III,71,0.185,,0.226,0.244,0.017
FORD,Fusion Pre-2006 Model Year,1.4 Duratec,M5,1388,Petrol,8.6,5.4,6.6,32.8,52.3,42.8,155,1147,III,71,0.264,0.046,0.064,,
FORD,Fusion Pre-2006 Model Year,1.6 Duratec,M5,1596,Petrol,9.1,5.4,6.7,31,52.3,42.2,158,1163,III,71,0.226,0.059,0.06,,
FORD,Fusion Pre-2006 Model Year,1.4 Duratorq TDCi (3.37 FDR),M5,1399,Diesel,5.2,3.9,4.4,54.3,72.4,64.2,117,799,III,70,0.125,,0.439,0.461,0.033
FORD,Fusion Pre-2006 Model Year,1.4 Duratorq TDCi (3.61 FDR),M5,1399,Diesel,5.5,4,4.5,51.4,70.6,62.8,119,817,III,71,0.472,,0.434,0.467,0.024
FORD,Fusion Pre-2006 Model Year,1.6 Duratorq TDCi,M5,1560,Diesel,5.5,4,4.6,51.4,70.6,61.4,122,835,III,71,0.185,,0.226,0.244,0.017
FORD,Focus (Prior Model),1.4i 16V Saloon/Estate,M5,1388,Petrol,8.8,5.4,6.6,32.1,52.3,42.8,158,1147,III,71,0.662,0.137,0.052,,
FORD,Focus (Prior Model),1.6i 16V Saloon/Estate,M5,1596,Petrol,9.4,5.4,6.8,30.1,52.3,41.5,163,1183,III,69,0.408,0.116,0.049,,
FORD,Focus (Prior Model),1.6i 16V 3/5 Door Saloon (14 inch tyre),A4,1596,Petrol,10.9,6.1,7.8,25.9,46.3,36.2,188,1356,III,70,0.588,0.114,0.077,,
FORD,Focus (Prior Model),1.6i 16V Saloon (15 inch tyre),A4,1596,Petrol,11.2,6.2,8,25.2,45.6,35.3,192,1391,III,70,0.588,0.114,0.077,,
FORD,Focus (Prior Model),1.8i 16V 3/5 Door Saloon (15 inch tyre),M5,1796,Petrol,10.2,6,7.6,27.7,47.1,37.2,181,1320,III,71,0.895,0.091,0.043,,
FORD,Focus (Prior Model),1.8i 16V 3/5 Door Saloon (16/17 inch tyre),M5,1796,Petrol,10.3,6.1,7.7,27.4,46.3,36.7,183,1338,III,71,0.895,0.091,0.043,,
FORD,Focus (Prior Model),1.8i 16V Estate (15 inch tyre),M5,1796,Petrol,10.4,6.1,7.7,27.2,46.3,36.7,184,1338,III,71,0.895,0.091,0.043,,
FORD,Focus (Prior Model),1.8i 16V Estate (16/17 inch tyre),M5,1796,Petrol,10.5,6.2,7.8,26.9,45.6,36.2,185,1356,III,71,0.895,0.091,0.043,,
FORD,Focus (Prior Model),2.0i 16V 3/5 Door Saloon,M5,1988,Petrol,11.6,6.9,8.7,24.4,40.9,32.5,207,1511,III,74,0.679,0.055,0.145,,
FORD,Focus (Prior Model),1.8 TDCi (100PS) 3/5 Door Saloon,M5,1753,Diesel,7,4.2,5.2,40.4,67.3,54.3,138,944,III,70,0.179,,0.36,0.385,0.038
FORD,Focus (Prior Model),1.8 TDCi (115PS) Estate ,M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,980,III,70,0.172,,0.409,0.435,0.03
FORD,New Focus,1.4 Duratec,M5,1388,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,159,1147,III,72,0.517,0.09,0.038,,
FORD,New Focus,1.6 Duratec,M5,1596,Petrol,8.7,5.5,6.7,32.5,51.4,42.2,161,1163,III,73,0.547,0.072,0.05,,
FORD,New Focus,2.0 Duratec,M5,1999,Petrol,9.8,5.4,7.1,28.8,52.3,39.8,170,1234,III,71,0.528,0.108,0.043,,
FORD,New Focus,2.0 Duratec,A4,1999,Petrol,11.4,6.2,8.1,24.8,45.6,34.9,196,1407,III,71,0.509,0.087,0.061,,
FORD,New Focus,1.6 Duratorq TDCi (90PS),M5,1560,Diesel,5.9,4,4.7,47.9,70.6,60.1,125,853,III,71,0.056,,0.216,0.22,0.019
FORD,New Focus,1.6 Duratorq TDCi (110PS),M5,1560,Diesel,6.2,4,4.8,45.6,70.6,58.9,127,871,III,71,0.406,,0.413,0.444,0.031
FORD,New Focus,1.6 Duratorq TDCi (110PS) 3/4/5 Door Saloon,CVT,1560,Diesel,6.9,4.7,5.5,40.9,60.1,51.4,146,998,III,71,0.102,,0.378,0.392,0.04
FORD,New Focus,1.6 Duratorq TDCi (110PS) Estate,CVT,1560,Diesel,7,4.8,5.6,40.4,58.9,50.4,149,1017,III,71,0.102,,0.378,0.392,0.04
FORD,New Focus,2.0 Duratorq TDCi 3/5 Door Saloon,M6,1997,Diesel,7.4,4.4,5.5,38.2,64.2,51.4,145,998,III,72,0.582,,0.3,0.381,0.013
FORD,New Focus,2.0 Duratorq TDCi 4 Door Saloon and Estate,M6,1997,Diesel,7.5,4.5,5.6,37.7,62.8,50.4,148,1017,III,72,0.582,,0.3,0.381,0.013
FORD,Focus C-Max,1.6 Duratec,M5,1596,Petrol,8.9,5.7,6.9,31.7,49.6,40.9,166,1200,III,73,0.547,0.072,0.05,,
FORD,Focus C-Max,1.8i 16V Duratec (120PS),M5,1798,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,1234,III,70,0.386,0.075,0.027,,
FORD,Focus C-Max,1.8 Duratec (125PS),M5,1798,Petrol,9.7,5.7,7.1,29.1,49.6,39.8,172,1234,III,70,0.463,0.11,0.049,,
FORD,Focus C-Max,2.0 Duratec,M5,1999,Petrol,10,5.6,7.3,28.2,50.4,38.7,176,1269,III,71,0.528,0.108,0.043,,
FORD,Focus C-Max,1.6 16V Duratorq TDCi (90PS),M5,1560,Diesel,6,4.1,4.8,47.1,68.9,58.9,127,871,III,71,0.056,,0.216,0.22,0.019
FORD,Focus C-Max,1.6 Duratorq TDCi (109PS),M5,1560,Diesel,6.3,4.1,4.9,44.8,68.9,57.6,129,890,III,71,0.406,,0.413,0.444,0.031
FORD,Focus C-Max,1.6 Duratorq TDCi (109PS),CVT,1560,Diesel,7.1,4.9,5.7,39.8,57.6,49.6,153,1034,III,71,0.102,,0.378,0.392,0.04
FORD,Focus C-Max,2.0 Duratorq TDCi (135PS),M6,1998,Diesel,7.5,4.5,5.6,37.7,62.8,50.4,148,1017,III,72,0.582,,0.3,0.381,0.013
FORD,Mondeo Pre-2004½ Model Year,1.8i 16V Saloon (16 inch tyre),M5,1798,Petrol,11,5.6,7.6,25.7,50.4,37.2,182,1320,III,71,0.608,0.094,0.081,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Saloon (16 inch tyre),M5,1999,Petrol,11.2,5.8,7.8,25.2,48.7,36.2,187,1356,III,72,0.51,0.08,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Saloon (17 inch tyre),M5,1999,Petrol,11.3,5.9,7.9,25,47.9,35.8,189,1371,III,72,0.51,0.08,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0i 16V Saloon (18 inch tyre),M5,1999,Petrol,11.5,6.1,8.1,24.6,46.3,34.9,194,1407,III,72,0.51,0.08,0.064,,
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Estate (16 inch tyre),M5,1998,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,153,1053,III,71,0.269,,0.376,0.398,0.036
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Estate (16 inch tyre),M6,1998,Diesel,7.9,4.8,5.8,35.8,58.9,48.7,154,1053,III,71,0.204,,0.469,0.479,0.028
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (115PS) Estate (16 inch tyre),A5,1998,Diesel,10.2,5.9,7.5,27.7,47.9,37.7,198,1360,III,68,0.198,,0.478,0.509,0.044
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (16 inch tyre),M6,1998,Diesel,7.7,4.7,5.8,36.7,60.1,48.7,154,1053,III,71,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (17 inch tyre),M6,1998,Diesel,7.8,4.8,5.9,36.2,58.9,47.9,156,1071,III,71,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Saloon (18 inch tyre),M6,1998,Diesel,7.9,5,6.1,35.8,56.5,46.3,161,1108,III,71,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (16 inch tyre),M6,1998,Diesel,7.8,4.9,6,36.2,57.6,47.1,158,1089,III,71,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (17 inch tyre),M6,1998,Diesel,7.9,5,6,35.8,56.5,47.1,160,1089,III,71,0.288,,0.387,0.418,0.035
FORD,Mondeo Pre-2004½ Model Year,2.0 TDCi (130PS) Estate (18 inch tyre),M6,1998,Diesel,8,5.2,6.2,35.3,54.3,45.6,165,1125,III,71,0.288,,0.387,0.418,0.035
FORD,Mondeo 2004½ Model Year Onwards,1.8 Duratec HE Saloon,M5,1798,Petrol,11,5.6,7.6,25.7,50.4,37.2,182,1320,III,71,0.608,0.094,0.081,,
FORD,Mondeo 2004½ Model Year Onwards,1.8 Duratec HE Estate,M5,1798,Petrol,11.1,5.8,7.8,25.4,48.7,36.2,186,1356,III,71,0.608,0.094,0.081,,
FORD,Mondeo 2004½ Model Year Onwards,2.0 Duratec HE Saloon,M5,1999,Petrol,11.2,5.8,7.8,25.2,48.7,36.2,187,1356,III,72,0.671,0.121,0.091,,
