Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates
AUDI,allroad,2.5 TDI V6 quattro 163ps,QM6,2496,Diesel,12.1,6.9,8.8,23.3,40.9,32.1,238,1580,72,0.153,,0.396,0.43,0.026
AUDI,allroad,2.5 TDI V6 quattro Tiptronic 180ps,QA5,2496,Diesel,13.5,7.6,9.7,20.9,37.2,29.1,262,1743,71,0.115,,0.378,0.408,0.035
AUDI,allroad,2.5 TDI V6 quattro 180ps (Low Ratio Transmission),QM6,2496,Diesel,12.4,7.1,9,22.8,39.8,31.4,243,1616,72,0.153,,0.396,0.426,0.026
CADILLAC,XLR,4.6 - V8 AUT,A5,4565,Petrol,18.2,9,12.3,15.5,31.4,23,291,2063,74,0.923,0.112,0.048,,
CITROEN,Dispatch Combi,2.0 HDi 110 hp,M5,1997,Diesel,8.7,5.6,6.7,32.5,50.4,42.2,180,1202,74.5,0.541,,0.528,0.594,0.04
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDDi 62.5kW (85PS) 4.23 FDR,M5,1998,Diesel,10,6.9,8,28.2,40.9,35.3,212,1437,72,0.143,,0.718,0.732,0.068
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDDi 62.5kW (85PS) 4.54 FDR,M5,1998,Diesel,10.2,6.7,8,27.7,42.2,35.3,212,1437,72,0.121,,0.699,0.72,0.066
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDDi 73.6kW (100PS) 4.23 FDR,M5,1998,Diesel,9.9,6.8,7.9,28.5,41.5,35.8,210,1417,74,0.125,,0.735,0.751,0.072
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDDi 73.6kW (100PS) 4.54 FDR,M5,1998,Diesel,9.9,6.7,7.9,28.5,42.2,35.8,209,1417,74,0.132,,0.654,0.674,0.071
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDCi 92kW (125PS) 4.23 FDR,M5,1998,Diesel,9.3,6.6,7.6,30.4,42.8,37.2,201,1364,73,0.24,,0.63,0.67,0.09
FORD,Transit Tourneo SWB Bus (FWD),2.0 TDCi 92kW (125PS) 4.54 FDR,M5,1998,Diesel,9.7,6.8,7.9,29.1,41.5,35.8,208,1417,73,0.24,,0.63,0.67,0.09
HYUNDAI,Terracan,2.9l CRTD 4WD,M5,2902,Diesel,10.9,7.4,8.7,25.9,38.2,32.5,222,1561,75,0.249,,0.444,0.474,0.039
HYUNDAI,Terracan,2.9l CRTD 4WD,A4,2902,Diesel,11.9,7.5,9.1,23.7,37.7,31,241,1637,73,0.07,,0.485,0.486,0.049
LAND ROVER,Defender Station Wagon,2.5 TD5 90 (06 MY),M5,2495,Diesel,11.9,8.8,10,23.7,32.1,28.3,282,1793,76,0.327,,0.547,0.566,0.065
LAND ROVER,Defender Station Wagon,2.5 TD5 110 (06 MY),M5,2495,Diesel,12.2,9.5,10.5,23.2,29.7,26.9,299,1886,75,0.399,,0.663,0.685,0.075
LAND ROVER,Discovery 3,2.7 V6 (06 MY),M6,2720,Diesel,11.5,8.2,9.4,24.5,34.5,30,249,1691,73,0.371,,0.567,0.608,0.052
LAND ROVER,Discovery 3,2.7 V6 (06 MY),A6,2720,Diesel,13.2,8.7,10.4,21.4,32.3,27.2,275,1865,71,0.135,,0.601,0.622,0.056
LAND ROVER,Freelander,2.5 V6 (06 MY),A5,2497,Petrol,17.2,9.7,12.4,16.5,29.1,22.7,298,2091,68,0.49,0.1,0.1,,
LAND ROVER,Freelander,2.0 (06 MY),M5,1951,Diesel,9.6,6.7,7.7,29.4,42.2,36.7,205,1382,72,0.271,,0.496,0.531,0.031
LAND ROVER,Freelander,2.0 (06 MY),A5,1951,Diesel,11.3,7.1,8.6,25.2,39.6,32.8,240,1547,72,0.059,,0.607,0.614,0.052
LAND ROVER,Range Rover,3.0 (06 MY),A5,2926,Diesel,14.4,9.4,11.3,19.6,30.1,25,299,2029,74,0.106,,0.715,0.732,0.069
LAND ROVER,Range Rover Sport,2.7 V6 (06 MY),A6,2720,Diesel,13.2,8.5,10.2,21.4,33.2,27.7,271,1832,72,0.135,,0.601,0.622,0.056
LTI,Taxi - TXII,2.4 Taxi/Hirecar,A4,2402,Diesel,11.2,8.1,9.2,25.3,35.1,30.7,243,1653,70.8,0.016,,0.722,0.727,0.084
LTI,Taxi - TXII,2.4 Taxi/Hirecar,M5,2402,Diesel,9.7,6.7,7.8,29,42.3,36.2,206,1401,73.4,0.134,,0.456,0.476,0.055
MERCEDES-BENZ,Viano (639),2.0CDi ,M6,2148,Diesel,11.3,7,8.6,25,40.4,32.8,227,1547,73,0.027,,0.521,0.533,0.062
MERCEDES-BENZ,Viano (639),2.0CDi ,A5,2148,Diesel,11.6,7.3,8.9,24.4,38.7,31.7,235,1600,72,0.095,,0.542,0.55,0.06
MERCEDES-BENZ,Viano (639),2.2CDi,M6,2148,Diesel,11.2,7.1,8.6,25.2,39.8,32.8,227,1547,75,0.088,,0.468,0.485,0.074
MERCEDES-BENZ,Viano (639),2.2 SWB,M6,2148,Diesel,11,6.8,8.4,25.7,41.5,31.7,222,1600,75,0.087,,0.468,0.485,0.073
MERCEDES-BENZ,Viano (639),2.2 LWB,M6,2148,Diesel,11.2,7.1,8.6,25.2,39.8,32.8,227,1547,75,0.087,,0.468,0.485,0.073
MERCEDES-BENZ,Viano (639),2.2CDi,A5,2148,Diesel,11.4,7.2,8.8,24.8,39.2,32.1,232,1580,72,0.014,,0.531,0.539,0.057
MERCEDES-BENZ,Viano (639),2.2 SWB,A5,2148,Diesel,10.9,7,8.5,25.9,40.4,33.2,225,1528,72,0.014,,0.532,0.539,0.057
MERCEDES-BENZ,Viano (639),2.2 LWB,A5,2148,Diesel,11.4,7.2,8.8,24.8,39.2,32.1,232,1580,72,0.014,,0.532,0.539,0.057
MERCEDES-BENZ,Maybach,S & LWB,A5,5513,Petrol,24.5,11,15.9,11.5,25.7,17.8,383,2666,73,0.488,0.054,0.018,,
MERCEDES-BENZ,SLR,Coupé,SAT5,5439,Petrol,20.9,10.8,14.5,13.5,26.2,19.5,348,2434,74,0.654,0.064,0.036,,
METROCAB,Taxi TTT,2.4 Turbo,A4,2446,Diesel,12.5,9.8,10.8,22.6,28.9,26.2,284,1936,74,0.032,,0.695,0.7,0.081
METROCAB,Taxi TTT,2.4 Turbo,M5,2446,Diesel,11.2,8.9,9.8,25.3,31.9,29,257,1749,73,0.086,,0.658,0.676,0.042
MITSUBISHI,Shogun,3.5 SWB,A5,3497,Petrol,19.5,11.1,14.2,14.2,25.4,19.9,339,2385,74,0.253,0.091,0.109,,
