Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,
CITROEN,Synergie,Synergie 2.0 HDi 110 hp,M5,1997,Diesel,8.4,5.6,6.7,33.6,50.4,42.2,182,485,II,72.2,0.174,0.772,,,0.059,
DAEWOO CARS,Musso,2.3,M5,2295,Petrol,16.2,9.7,12.1,17.4,29.1,23.3,282,843,II,74.0,0.650,0.206,,,,
DAEWOO CARS,Musso,2.3 P (BTRA T/M),A4,2295,Petrol,17.4,11.3,13.5,16.2,25.0,20.9,313,940,II,73.4,0.780,0.310,,,,
DAEWOO CARS,Musso,2.3 P (Benz T/M),A4,2295,Petrol,16.6,10.8,12.9,17.0,26.1,21.9,303,897,II,71.4,0.778,0.310,,,,
DAEWOO CARS,Musso,2.9 TD,M5,2874,Diesel,12.0,7.6,9.2,23.5,37.2,30.7,245,666,II,75.0,0.570,0.880,,,0.140,
DAEWOO CARS,Musso,2.9 TD,A4,2874,Diesel,14.2,9.1,11.0,19.9,31.0,25.7,290,796,II,74.0,0.678,0.950,,,0.142,
DAIHATSU,Fourtrak,Fourtrak LWB 2.8L Diesel Turbo,M5,2765,Diesel,10.8,8.3,9.2,26.2,34.0,30.7,244,666,II,70.0,0.640,0.985,,,0.122,
ISUZU,Trooper,3.0 Turbo 4WD Diesel,5MT,2999,Diesel,13.6,8.7,10.5,20.8,32.5,26.9,278,760,II,73.4,0.200,0.780,,,0.134,
ISUZU,Trooper,3.0 Turbo 4WD Diesel,4AT,2999,Diesel,14.0,9.1,10.9,20.2,31.0,25.9,289,790,II,73.0,0.190,0.910,,,0.095,
ISUZU,Trooper,3.5 V6 4WD Petrol,M5,3494,Petrol,18.7,10.7,13.7,15.1,26.4,20.6,326,953,II,75.9,0.570,0.200,,,,
ISUZU,Trooper,3.5 V6 4WD Petrol,A4,3494,Petrol,20.6,11.7,15.0,13.7,24.1,18.8,358,1045,II,75.6,0.650,0.290,,,,
LAND ROVER,Defender Station Wagon,2.5 TD5  90 (2001 Model Year),M5,2495,Diesel,12.1,9.0,10.1,23.3,31.4,27.9,282,733,II,75.0,1.001,1.165,,,0.080,
LAND ROVER,Defender Station Wagon,2.5 TD5 110 (2001 Model Year),M5,2495,Diesel,12.7,9.7,10.8,22.2,29.1,26.1,299,784,II,75.0,0.868,1.328,,,0.084,
LAND ROVER,Discovery Series II,2.5 TD5 (2001 Model Year),M5,2495,Diesel,11.5,8.2,9.4,24.6,34.4,30.1,262,680,II,76.0,0.631,1.380,,,0.080,
LAND ROVER,Discovery Series II,2.5 TD5 (2001 Model Year),A4,2495,Diesel,12.7,9.0,10.3,22.2,31.4,27.4,284,747,II,76.0,0.563,1.337,,,0.096,
LAND ROVER,Discovery Series II,4.0 V8 (2001 Model Year),M5,3950,Petrol,23.3,12.7,16.6,12.1,22.2,17.0,397,1155,II,74.0,1.444,0.159,,,,
LAND ROVER,Discovery Series II,4.0 V8 (2001 Model Year),A4,3950,Petrol,22.9,13.1,16.7,12.3,21.6,16.9,397,1162,II,74.0,0.845,0.334,,,,
LAND ROVER,Range Rover,2.5,M5,2497,Diesel,13.4,8.9,10.6,21.1,31.6,26.7,289,766,II,75.0,0.098,0.793,,,0.121,
LAND ROVER,Range Rover,2.5,A4,2497,Diesel,14.5,9.6,11.4,19.5,29.5,24.9,304,822,II,74.0,0.080,0.750,,,0.140,
LAND ROVER,Range Rover,4.0 V8,A4,3950,Petrol,21.7,11.5,15.2,13.0,24.5,18.5,385,1062,II,74.0,0.698,0.182,,,,
LAND ROVER,Range Rover,4.6 V8,A4,4554,Petrol,23.9,12.2,16.4,11.8,23.2,17.2,398,1142,II,74.8,0.374,0.518,,,,
LTI,Taxi - TXI - EGR,2.7 Taxi/Hirecar,A4,2664,Diesel,10.9,8.2,9.2,26.0,34.3,30.7,244,666,II,73.1,0.390,1.110,,,0.090,
LTI,Taxi - TXI - EGR,2.7 Taxi/Hirecar,M5,2664,Diesel,10.7,7.1,8.4,26.5,39.7,33.5,223,611,II,74.0,0.580,1.000,,,0.070,
METROCAB,Taxi - Series III,2.5 DI Taxi,A4,2496,Diesel,10.9,7.7,8.9,25.8,36.7,31.8,236,643,II,75.0,1.185,1.037,,,0.178,
METROCAB,Taxi - Series III,2.5 DI Taxi,M5,2496,Diesel,10.2,6.9,8.1,27.6,40.8,34.7,214,590,II,74.7,1.052,0.905,,,0.131,
MITSUBISHI,Shogun,3.2 CLASSIC LWB,M5,3200,Diesel,12.4,8.1,9.7,22.8,34.9,29.1,256,703,II,74.0,0.990,0.847,,,0.034,
MITSUBISHI,Shogun,3.2 CLASSIC SWB,M5,3200,Diesel,12.4,8.1,9.7,22.8,34.9,29.1,256,703,II,75.0,0.990,0.847,,,0.034,
MITSUBISHI,Shogun,3.2 EQUIPPE SWB,M5,3200,Diesel,12.4,8.1,9.7,22.8,34.9,29.1,256,703,II,75.0,0.990,0.847,,,0.034,
MITSUBISHI,Shogun,3.5 GDI EQUIPPE SWB,A5,3497,Petrol,17.5,10.8,13.2,16.1,26.2,21.4,316,918,II,71.0,0.198,0.371,,,,
MITSUBISHI,Shogun,3.2 CLASSIC LWB,A5,3200,Diesel,14.0,8.7,10.7,20.2,32.5,26.4,284,775,II,71.0,0.578,0.726,,,0.084,
MITSUBISHI,Shogun,3.2 EQUIPPE LWB,M5,3200,Diesel,12.4,8.1,9.7,22.8,34.9,29.1,256,703,II,74.0,0.990,0.847,,,0.034,
MITSUBISHI,Shogun,3.2 EQUIPPE LWB,A5,3200,Diesel,14.0,8.7,10.7,20.2,32.5,26.4,284,775,II,71.0,0.578,0.726,,,0.084,
MITSUBISHI,Shogun,3.5 V6 GDI ELEGANCE LWB,A5,3497,Petrol,17.5,10.8,13.2,16.1,26.2,21.4,316,918,II,72.0,0.198,0.371,,,,
MITSUBISHI,Shogun Sport,2.5 TD CLASSIC,M5,2477,Diesel,12.8,8.8,10.3,22.1,32.1,27.4,273,747,II,72.0,0.527,0.804,,,0.051,
MITSUBISHI,Shogun Sport,2.5 TD EQUIPPE,M5,2477,Diesel,13.6,9.5,11.0,20.8,29.7,25.7,292,796,II,74.0,0.661,0.778,,,0.060,
PEUGEOT,Expert Combi,2.0 HDi Turbo (95 bhp),M5,1997,Diesel,8.4,5.8,6.8,33.6,48.7,41.5,182,493,II,74.6,0.318,0.692,,,0.050,
PEUGEOT,Expert Combi,2.0 HDi Turbo (110 bhp),M5,1997,Diesel,7.9,5.4,6.4,35.8,52.3,44.1,171,464,II,74.7,0.246,0.723,,,0.048,
RENAULT,Espace (J66) ,3.0 V6 24V From VIN JE0G02,A4,2946,Petrol,16.3,8.9,11.6,17.3,31.7,24.4,273,805,II,73.6,1.073,0.414,,,,
RENAULT,Espace (J66) ,1.9 dTi From VIN JE0M05,M5,1870,Diesel,8.2,5.7,6.6,34.4,49.6,42.8,175,478,II,74.0,0.677,0.597,,,0.054,
RENAULT,Espace (J66) ,2.2 dT From VIN JE0E05,M5,2188,Diesel,10.6,6.5,8.0,26.6,43.5,35.3,216,580,II,72.5,0.133,0.744,,,0.045,
RENAULT,Espace (J66) ,2.2 dT From VIN JE0H05,M5,2188,Diesel,10.3,6.6,7.9,27.4,42.8,35.8,212,571,II,72.5,0.257,0.652,,,0.052,
RENAULT,Grand Espace (J66) ,3.0 V6 24V From VIN JE0GL2,A4,2946,Petrol,16.3,8.9,11.6,17.3,31.7,24.4,273,805,II,73.6,1.073,0.414,,,,
RENAULT,Grand Espace (J66) ,2.2 dT From VIN JE0E05,M5,2188,Diesel,10.6,6.5,8.0,26.6,43.5,35.3,216,580,II,72.5,0.133,0.744,,,0.045,
RENAULT,Grand Espace (J66) ,2.2 dT From VIN JE0H05,M5,2188,Diesel,10.3,6.6,7.9,27.4,42.8,35.8,212,571,II,72.5,0.257,0.652,,,0.052,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
