Manufacturer,Model,Description,Transmission,Transmission type,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Electric range (Km),Electric range (miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost of driving 12000 Miles (£s),Electricity cost of driving 12000 Miles (£s),Total costs 12000 miles (£s),Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [mg/km],Euro Standard,Booklet,VED Band
ABARTH,500,595 and 595C,Automatic,SAT5,1368,Petrol,,,,,8.4,5.4,6.5,33.6,52.3,43.5,151,"£1,731.00",,"£1,731.00",73.5,439,33,36,,,5,August 2013,G
ABARTH,500,595 and 595C,Manual,M5,1368,Petrol,,,,,8.5,5.4,6.5,33.2,52.3,43.5,155,"£1,731.00",,"£1,731.00",74.0,222,35,19,,,5,August 2013,G
ABARTH,500,Abarth 500 and 500C,Manual,M5,1368,Petrol,,,,,8.5,5.4,6.5,33.2,52.3,43.5,155,"£1,731.00",,"£1,731.00",74.0,222,35,36,,,5,August 2013,G
ABARTH,500,Abarth 500 and 500C ,Automatic,SAT5,1368,Petrol,,,,,8.4,5.4,6.5,33.6,52.3,43.5,151,"£1,731.00",,"£1,731.00",73.0,445,25,22,,,5,August 2013,G
ABARTH,Punto Evo,1.4 16v Turbo MultiAir 165,Manual,M6,1368,Petrol,,,,,8.0,5.0,6.1,35.3,56.5,46.3,142,"£1,626.00",,"£1,626.00",71.5,378,44,23,,,5,August 2013,F
ALFA ROMEO,Giulietta,1.4 TB 120 bhp,Manual,M6,1368,Petrol,,,,,8.4,5.3,6.4,33.6,53.3,44.1,149,"£1,707.00",,"£1,707.00",73.0,356,30,26,,,5,August 2013,F
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp,Manual,M6,1368,Petrol,,,,,7.8,4.6,5.8,36.2,61.4,48.7,134,"£1,546.00",,"£1,546.00",72.5,276,48,29,,,5,August 2013,E
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp Alfa TCT,Automatic,SAT6,1368,Petrol,,,,,6.7,4.3,5.2,42.2,65.7,54.3,121,"£1,386.00",,"£1,386.00",70.5,440,37,30,,,5,August 2013,D
ALFA ROMEO,Giulietta,1.6 JTDm-2 105 bhp,Manual,M6,1598,Diesel,,,,,5.5,3.7,4.4,51.4,76.3,64.2,114,"£1,232.00",,"£1,232.00",74.0,215,,173,207,0.8,5,August 2013,C
ALFA ROMEO,Giulietta,1750 TBi 235 bhp,Manual,M6,1742,Petrol,,,,,10.8,5.8,7.6,26.2,48.7,37.2,177,"£2,024.00",,"£2,024.00",74.0,375,49,22,,,5,August 2013,I
ALFA ROMEO,Giulietta,2.0 JTDm-2 140 bhp,Manual,M6,1956,Diesel,,,,,5.6,3.9,4.5,50.4,72.4,62.8,119,"£1,260.00",,"£1,260.00",72.5,389,,161,216,0.5,5,August 2013,C
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp ,Manual,M6,1956,Diesel,,,,,5.8,4.1,4.7,48.7,68.9,60.1,124,"£1,316.00",,"£1,316.00",74.5,152,,158,201,0.8,5,August 2013,D
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp Alfa TCT,Automatic,SAT6,1956,Diesel,,,,,5.3,4.0,4.5,53.3,70.6,62.8,119,"£1,260.00",,"£1,260.00",72.5,182,,160,186,0.6,5,August 2013,C
ALFA ROMEO,MiTo,1.3 JTDm-2 85 bhp,Manual,M5,1248,Diesel,,,,,4.4,2.9,3.5,64.2,97.4,80.7,90,£980.00,,£980.00,73.0,393,,167,194,0.5,5,August 2013,A
ALFA ROMEO,MiTo,1.4 8v 78 bhp,Manual,M5,1368,Petrol,,,,,7.3,4.6,5.6,38.7,61.4,50.4,130,"£1,494.00",,"£1,494.00",73.0,337,48,37,,,5,August 2013,D
ALFA ROMEO,MiTo,1.4 MultiAir 105 bhp,Manual,M6,1368,Petrol,,,,,7.5,4.7,5.7,37.7,60.1,49.6,134,"£1,518.00",,"£1,518.00",72.5,192,49,40,,,5,August 2013,E
