Manufacturer,Model,Description,transmission,Transmission type,Engine Capacity,Fuel Type,Electrical energy consumption miles/kWh,wh/km,Electric range (Km),Electric range (miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost of Driving 12000 Miles (£s),Electricity cost of Driving 12000 Miles (£s),Total cost of Driving 12000 miles (£s),Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Euro Standard,Booklet,VED Band
ALFA ROMEO,MiTo,875 cc TB Twin Air 105 bhp,Manual,M6,875,Petrol,,,,,5,3.8,4.2,56.5,74.3,67.3,99,1119,,1119,74,316,41,34,,,6,August 2013,A
AUDI,New A3 Sportback,1.4 TFSI 140PS,Manual,M6,1395,Petrol,,,,,5.9,4.2,4.8,47.9,67.3,58.9,112,1278,,1278,70,613,52,43,,,6,August 2013,C
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 205/55 R16 tyres front and rear,Automatic,A8,1995,Diesel,,,,,5.2,4.1,4.5,54.3,68.9,62.8,118,1260,,1260,75,115,,30,47,0.2,6,August 2013,C
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 205/50 R17 tyres front and rear,Automatic,A8,1995,Diesel,,,,,5.4,4.1,4.6,52.3,68.9,61.4,121,1288,,1288,75,115,,30,47,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 225/45 R17 tyres front and rear,Automatic,A8,1995,Diesel,,,,,5.4,4.1,4.6,52.3,68.9,61.4,121,1288,,1288,75,115,,30,47,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 225/45 R17 tyres front / 245/40 R17 tyres rear,Automatic,A8,1995,Diesel,,,,,5.4,4.1,4.6,52.3,68.9,61.4,121,1288,,1288,75,115,,30,47,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 225/40 R18 tyres front / 245/35 R18 tyres rear,Automatic,A8,1995,Diesel,,,,,5.4,4.1,4.6,52.3,68.9,61.4,121,1288,,1288,75,115,,30,47,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 205/55 R16 tyres front and rear,Manual,M6,1995,Diesel,,,,,5.7,4,4.6,49.6,70.6,61.4,122,1288,,1288,74,174,,72,77,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 205/50 R17 tyres front and rear,Manual,M6,1995,Diesel,,,,,5.8,4.1,4.7,48.7,68.9,60.1,124,1316,,1316,74,174,,72,77,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 225/45 R17 tyres front and rear,Manual,M6,1995,Diesel,,,,,5.8,4.1,4.7,48.7,68.9,60.1,124,1316,,1316,74,174,,72,77,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 225/45 R17 tyres front / 245/40 R17 tyres rear,Manual,M6,1995,Diesel,,,,,5.8,4.1,4.7,48.7,68.9,60.1,124,1316,,1316,74,174,,72,77,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",120d 3-door - 225/40 R18 tyres front / 245/35 R18 tyres rear,Manual,M6,1995,Diesel,,,,,5.8,4.1,4.7,48.7,68.9,60.1,124,1316,,1316,74,174,,72,77,0.2,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",116i 3-door - 205/55 R16 tyres front and rear,Manual,M6,1598,Petrol,,,,,7,4.5,5.4,40.4,62.8,52.3,125,1439,,1439,73,441,59,24,,,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",114i 3-door - 205/55 R16 tyres front and rear,Manual,M6,1598,Petrol,,,,,7.1,4.5,5.5,39.8,62.8,51.4,127,1465,,1465,73,441,59,24,,,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",116i 3-door - 205/55 R16 tyres front and rear,Automatic,A8,1598,Petrol,,,,,7.2,4.6,5.6,39.2,61.4,50.4,129,1494,,1494,71,313,54,20,,,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",118i 3-door - 205/55 R16 tyres front and rear,Automatic,A8,1598,Petrol,,,,,7.1,4.6,5.6,39.8,61.4,50.4,129,1494,,1494,68,293,45,15,,,6,August 2013,D
BMW,"1 Series 3-door F21, From September 2012",116i 3-door - 205/50 R17 tyres front and rear,Manual,M6,1598,Petrol,,,,,7.3,4.7,5.6,38.7,60.1,50.4,131,1494,,1494,73,441,59,24,,,6,August 2013,E
